wbe;jahr;sess5
011;2000;188
011;2001;184
011;2002;191
011;2003;188
011;2004;169
011;2005;169
011;2006;162
011;2007;157
011;2008;163
011;2009;167
011;2010;157
011;2011;159
011;2012;161
011;2013;155
011;2014;161
011;2015;170
012;2000;172
012;2001;176
012;2002;175
012;2003;179
012;2004;177
012;2005;186
012;2006;199
012;2007;197
012;2008;195
012;2009;197
012;2010;185
012;2011;183
012;2012;187
012;2013;171
012;2014;170
012;2015;179
013;2000;252
013;2001;249
013;2002;229
013;2003;236
013;2004;253
013;2005;254
013;2006;264
013;2007;294
013;2008;274
013;2009;270
013;2010;254
013;2011;258
013;2012;261
013;2013;263
013;2014;260
013;2015;267
014;2000;454
014;2001;437
014;2002;444
014;2003;449
014;2004;458
014;2005;439
014;2006;442
014;2007;467
014;2008;465
014;2009;446
014;2010;424
014;2011;418
014;2012;404
014;2013;383
014;2014;386
014;2015;393
021;2000;826
021;2001;799
021;2002;786
021;2003;770
021;2004;749
021;2005;730
021;2006;688
021;2007;681
021;2008;663
021;2009;633
021;2010;612
021;2011;581
021;2012;593
021;2013;614
021;2014;628
021;2015;619
022;2000;254
022;2001;265
022;2002;270
022;2003;260
022;2004;257
022;2005;270
022;2006;267
022;2007;259
022;2008;256
022;2009;257
022;2010;247
022;2011;242
022;2012;240
022;2013;233
022;2014;223
022;2015;233
023;2000;323
023;2001;338
023;2002;338
023;2003;325
023;2004;339
023;2005;328
023;2006;357
023;2007;358
023;2008;349
023;2009;338
023;2010;335
023;2011;329
023;2012;326
023;2013;317
023;2014;299
023;2015;292
024;2000;311
024;2001;306
024;2002;301
024;2003;292
024;2004;299
024;2005;296
024;2006;295
024;2007;287
024;2008;285
024;2009;276
024;2010;272
024;2011;253
024;2012;251
024;2013;261
024;2014;267
024;2015;251
025;2000;739
025;2001;747
025;2002;720
025;2003;679
025;2004;637
025;2005;630
025;2006;636
025;2007;624
025;2008;643
025;2009;643
025;2010;638
025;2011;643
025;2012;644
025;2013;651
025;2014;664
025;2015;661
026;2000;115
026;2001;115
026;2002;126
026;2003;128
026;2004;135
026;2005;132
026;2006;137
026;2007;149
026;2008;133
026;2009;126
026;2010;139
