wbe;jahr;anteil_christkatholisch
034;2001;NaN
034;2002;NaN
034;2003;NaN
034;2004;NaN
034;2005;NaN
034;2006;NaN
034;2007;NaN
034;2008;NaN
034;2009;NaN
034;2010;NaN
034;2011;NaN
034;2012;NaN
034;2013;NaN
034;2014;NaN
034;2015;NaN
041;2000;0.5
041;2001;0.5
041;2002;0.5
041;2003;0.6
041;2004;0.6
041;2005;0.5
041;2006;0.6
041;2007;0.5
041;2008;0.4
041;2009;0.4
041;2010;0.4
041;2011;0.6
041;2012;0.7
041;2013;0.7
041;2014;0.7
041;2015;0.6
042;2000;0.2
042;2001;0.2
042;2002;0.2
042;2003;0.3
042;2004;0.3
042;2005;0.3
042;2006;0.3
042;2007;0.3
042;2008;0.3
042;2009;0.3
042;2010;0.4
042;2011;0.4
042;2012;0.7
042;2013;0.5
042;2014;0.5
042;2015;0.4
051;2000;NaN
051;2001;NaN
051;2002;NaN
051;2003;NaN
051;2004;NaN
051;2005;NaN
051;2006;NaN
051;2007;NaN
051;2008;NaN
051;2009;NaN
051;2010;NaN
051;2011;NaN
051;2012;NaN
051;2013;NaN
051;2014;NaN
051;2015;NaN
052;2000;0.5
052;2001;0.4
052;2002;0.4
052;2003;0.4
052;2004;0.7
052;2005;NaN
052;2006;0.4
052;2007;0.5
052;2008;0.4
052;2009;NaN
052;2010;NaN
052;2011;0.4
052;2012;0.7
052;2013;0.6
052;2014;NaN
052;2015;NaN
053;2000;0.6
053;2001;0.6
053;2002;0.5
053;2003;0.6
053;2004;0.6
053;2005;0.5
053;2006;0.6
053;2007;0.5
053;2008;0.5
053;2009;0.6
053;2010;0.6
053;2011;0.6
053;2012;0.7
053;2013;0.5
053;2014;0.5
053;2015;0.4
054;2000;0.6
054;2001;0.6
054;2002;0.7
054;2003;0.6
054;2004;0.5
054;2005;0.5
054;2006;0.4
054;2007;0.4
054;2008;0.4
054;2009;0.4
054;2010;0.5
054;2011;0.4
054;2012;0.7
054;2013;0.5
054;2014;0.4
054;2015;0.5
055;2000;NaN
055;2001;0.8
055;2002;0.5
055;2003;0.4
055;2004;0.6
055;2005;NaN
055;2006;NaN
055;2007;NaN
055;2008;NaN
055;2009;NaN
055;2010;NaN
055;2011;NaN
055;2012;NaN
055;2013;0.5
055;2014;0.5
055;2015;0.6
061;2000;0.2
061;2001;0.2
061;2002;0.2
061;2003;0.2
061;2004;0.2
061;2005;0.2
061;2006;0.2
061;2007;0.2
061;2008;0.3
061;2009;0.2
061;2010;0.3
061;2011;0.3
061;2012;0.7
061;2013;0.7
061;2014;0.5
061;2015;0.4
062;2000;0.3
062;2001;0.3
062;2002;0.3
062;2003;0.3
062;2004;0.3
062;2005;0.2
062;2006;0.2
062;2007;0.1
062;2008;0.2
062;2009;0.2
062;2010;0.2
062;2011;0.5
062;2012;0.8
062;2013;0.5
062;2014;0.5
062;2015;0.4
063;2000;0.2
063;2001;0.3
063;2002;0.3
063;2003;0.2
063;2004;0.2
063;2005;0.1
063;2006;0.2
063;2007;0.2
063;2008;0.2
063;2009;0.2
063;2010;0.4
063;2011;0.5
063;2012;0.8
063;2013;0.5
063;2014;0.5
063;2015;0.4
071;2000;0.4
071;2001;0.4
071;2002;0.5
071;2003;0.5
071;2004;0.4
071;2005;0.5
071;2006;0.5
071;2007;0.4
071;2008;0.3
071;2009;0.3
071;2010;0.3
071;2011;0.3
071;2012;0.5
071;2013;0.4
071;2014;0.4
071;2015;0.3
072;2000;0.3
072;2001;0.3
072;2002;0.3
072;2003;0.2
072;2004;0.2
072;2005;0.1
072;2006;NaN
072;2007;0.2
072;2008;0.2
072;2009;0.2
072;2010;0.3
072;2011;0.4
072;2012;0.4
072;2013;0.4
072;2014;0.4
072;2015;0.4
073;2000;NaN
073;2001;NaN
073;2002;NaN
073;2003;NaN
073;2004;NaN
073;2005;NaN
073;2006;NaN
073;2007;NaN
073;2008;NaN
073;2009;NaN
073;2010;NaN
073;2011;NaN
073;2012;NaN
073;2013;NaN
073;2014;NaN
073;2015;NaN
081;2000;0.6
081;2001;0.6
081;2002;0.6
081;2003;0.7
081;2004;0.6
081;2005;0.5
081;2006;0.4
081;2007;0.3
081;2008;0.3
081;2009;0.5
081;2010;0.5
081;2011;0.6
081;2012;0.9
081;2013;0.9
081;2014;0.6
081;2015;0.7
082;2000;0.5
082;2001;0.4
082;2002;0.4
082;2003;0.5
082;2004;0.5
082;2005;0.4
082;2006;0.5
082;2007;0.5
082;2008;0.5
082;2009;0.4
082;2010;0.7
082;2011;0.6
082;2012;0.6
082;2013;0.7
082;2014;0.9
082;2015;0.7
083;2000;0.7
083;2001;0.6
083;2002;0.7
083;2003;0.8
083;2004;0.5
083;2005;0.5
083;2006;0.5
083;2007;0.5
083;2008;0.6
083;2009;0.5
083;2010;0.5
083;2011;0.5
083;2012;0.5
083;2013;0.6
083;2014;0.3
083;2015;0.3
084;2000;0.3
084;2001;0.5
084;2002;0.6
084;2003;NaN
084;2004;0.2
084;2005;NaN
084;2006;0.3
084;2007;0.2
084;2008;0.3
084;2009;0.3
084;2010;0.3
084;2011;0.3
084;2012;0.2
084;2013;0.3
084;2014;0.5
084;2015;0.4
085;2000;0.3
085;2001;0.3
085;2002;0.3
085;2003;0.3
085;2004;0.3
085;2005;0.4
085;2006;0.3
085;2007;0.3
085;2008;0.3
085;2009;0.4
085;2010;0.4
085;2011;0.4
085;2012;0.4
085;2013;0.3
085;2014;0.4
085;2015;0.3
091;2000;0.2
091;2001;0.2
091;2002;0.3
091;2003;0.2
091;2004;0.3
091;2005;0.2
091;2006;0.3
091;2007;0.3
091;2008;0.3
091;2009;0.3
091;2010;0.4
091;2011;0.6
091;2012;0.7
091;2013;0.6
091;2014;0.7
091;2015;0.6
092;2000;NaN
092;2001;NaN
092;2002;NaN
092;2003;NaN
092;2004;NaN
092;2005;NaN
092;2006;NaN
092;2007;NaN
092;2008;0.2
092;2009;0.2
092;2010;0.4
092;2011;0.3
092;2012;0.3
092;2013;0.2
092;2014;NaN
092;2015;NaN
101;2000;0.1
101;2001;0.1
101;2002;0.1
101;2003;0.1
101;2004;0.1
101;2005;0.1
101;2006;0.2
101;2007;0.2
101;2008;0.2
101;2009;0.2
101;2010;0.3
101;2011;0.5
101;2012;0.7
101;2013;0.6
101;2014;0.5
101;2015;0.6
102;2000;0.2
102;2001;0.3
102;2002;0.2
102;2003;0.2
102;2004;0.2
102;2005;0.2
102;2006;0.2
102;2007;0.2
102;2008;0.2
102;2009;0.1
102;2010;0.2
102;2011;0.4
102;2012;0.5
102;2013;0.3
102;2014;0.4
102;2015;0.3
103;2000;0.2
103;2001;0.2
103;2002;0.3
103;2003;0.2
103;2004;0.3
103;2005;0.2
103;2006;0.3
103;2007;0.3
103;2008;0.3
103;2009;0.3
103;2010;0.4
103;2011;0.5
103;2012;0.6
103;2013;0.7
103;2014;0.6
103;2015;0.6
111;2000;0.5
111;2001;0.5
111;2002;0.5
111;2003;0.5
111;2004;0.4
111;2005;0.4
111;2006;0.4
111;2007;0.4
111;2008;0.5
111;2009;0.5
111;2010;0.6
111;2011;0.6
111;2012;0.6
111;2013;0.7
111;2014;0.7
111;2015;0.7
112;2000;0.4
112;2001;0.4
112;2002;0.4
112;2003;0.4
112;2004;0.4
112;2005;0.5
112;2006;0.5
112;2007;0.4
112;2008;0.4
112;2009;0.4
112;2010;0.5
112;2011;0.7
112;2012;1.0
112;2013;0.8
112;2014;0.7
112;2015;0.8
113;2000;0.2
113;2001;0.3
113;2002;0.2
113;2003;0.2
113;2004;0.2
113;2005;0.2
113;2006;0.3
113;2007;0.3
113;2008;0.2
113;2009;0.2
113;2010;0.4
113;2011;0.6
113;2012;0.8
113;2013;0.5
113;2014;0.7
113;2015;0.5
114;2000;NaN
114;2001;NaN
114;2002;NaN
114;2003;NaN
114;2004;NaN
114;2005;NaN
114;2006;NaN
114;2007;NaN
114;2008;0.3
114;2009;0.5
114;2010;0.4
114;2011;0.8
114;2012;1.3
114;2013;0.7
114;2014;0.5
114;2015;0.4
115;2000;0.3
115;2001;0.3
115;2002;0.2
115;2003;0.3
115;2004;0.3
115;2005;0.3
115;2006;0.3
115;2007;0.3
115;2008;0.3
115;2009;0.4
115;2010;0.4
115;2011;0.5
115;2012;0.7
115;2013;0.8
115;2014;0.6
115;2015;0.6
121;2000;0.3
121;2001;NaN
121;2002;NaN
121;2003;0.3
121;2004;0.4
121;2005;0.3
121;2006;0.3
121;2007;0.3
121;2008;0.3
121;2009;0.3
121;2010;0.4
121;2011;0.8
121;2012;1.0
121;2013;1.1
121;2014;0.5
121;2015;0.5
122;2000;NaN
122;2001;NaN
122;2002;0.5
122;2003;NaN
122;2004;0.5
122;2005;0.5
122;2006;NaN
122;2007;NaN
122;2008;NaN
122;2009;NaN
122;2010;NaN
122;2011;0.4
122;2012;0.9
122;2013;0.9
122;2014;0.6
122;2015;0.6
131;2000;NaN
131;2001;NaN
131;2002;NaN
131;2003;NaN
131;2004;NaN
131;2005;NaN
131;2006;NaN
131;2007;NaN
131;2008;NaN
131;2009;NaN
131;2010;0.4
131;2011;NaN
131;2012;1.4
131;2013;1.0
131;2014;0.4
131;2015;0.5
132;2000;0.2
132;2001;0.3
132;2002;0.3
132;2003;0.3
132;2004;0.2
132;2005;0.3
132;2006;0.3
132;2007;0.3
132;2008;NaN
132;2009;NaN
132;2010;0.3
132;2011;0.7
132;2012;0.7
132;2013;0.7
132;2014;0.4
132;2015;0.3
141;2000;0.6
141;2001;0.5
141;2002;0.5
141;2003;0.4
141;2004;0.5
141;2005;0.4
141;2006;0.3
141;2007;0.3
141;2008;0.3
141;2009;0.3
141;2010;0.5
141;2011;0.5
141;2012;0.8
141;2013;0.6
141;2014;0.4
141;2015;0.4
142;2000;0.2
142;2001;0.2
142;2002;0.2
142;2003;0.3
142;2004;0.2
142;2005;0.2
142;2006;0.2
142;2007;0.3
142;2008;0.3
142;2009;NaN
142;2010;0.2
142;2011;0.4
142;2012;0.3
142;2013;0.3
142;2014;0.5
142;2015;0.5
151;2000;NaN
151;2001;0.2
151;2002;0.2
151;2003;0.2
151;2004;0.2
151;2005;0.2
151;2006;0.1
151;2007;0.2
151;2008;0.2
151;2009;0.3
151;2010;0.2
151;2011;0.3
151;2012;0.5
151;2013;0.2
151;2014;0.2
151;2015;0.2
152;2000;0.3
152;2001;0.2
152;2002;0.2
152;2003;0.5
152;2004;0.6
152;2005;0.7
152;2006;0.7
152;2007;0.4
152;2008;0.5
152;2009;0.6
152;2010;0.6
152;2011;0.6
152;2012;0.6
152;2013;0.6
152;2014;0.7
152;2015;0.7
153;2000;NaN
153;2001;NaN
153;2002;NaN
153;2003;NaN
153;2004;0.1
153;2005;0.1
153;2006;0.2
153;2007;0.2
153;2008;0.1
153;2009;NaN
153;2010;NaN
153;2011;0.1
153;2012;NaN
153;2013;0.1
153;2014;0.2
153;2015;0.2
161;2000;NaN
161;2001;0.1
161;2002;0.2
161;2003;0.1
161;2004;0.2
161;2005;0.2
161;2006;0.2
161;2007;0.1
161;2008;0.1
161;2009;0.1
161;2010;0.2
161;2011;0.4
161;2012;0.6
161;2013;0.4
161;2014;0.5
161;2015;0.6
162;2000;NaN
162;2001;NaN
162;2002;NaN
162;2003;NaN
162;2004;NaN
162;2005;NaN
162;2006;NaN
162;2007;NaN
162;2008;NaN
162;2009;NaN
162;2010;NaN
162;2011;NaN
162;2012;0.8
162;2013;NaN
162;2014;NaN
162;2015;0.4
171;2000;NaN
171;2001;NaN
171;2002;NaN
171;2003;NaN
171;2004;NaN
171;2005;NaN
171;2006;NaN
171;2007;NaN
171;2008;0.3
171;2009;NaN
171;2010;NaN
171;2011;NaN
171;2012;0.5
171;2013;0.5
171;2014;0.5
171;2015;0.5
172;2000;0.2
172;2001;NaN
172;2002;NaN
172;2003;NaN
172;2004;NaN
172;2005;NaN
172;2006;0.1
172;2007;0.1
172;2008;0.2
172;2009;0.2
172;2010;0.2
172;2011;0.5
172;2012;0.8
172;2013;0.5
172;2014;0.6
172;2015;0.7
173;2000;NaN
173;2001;NaN
173;2002;NaN
173;2003;NaN
173;2004;NaN
173;2005;NaN
173;2006;0.2
173;2007;0.3
173;2008;0.4
173;2009;0.3
173;2010;0.3
173;2011;0.5
173;2012;0.9
173;2013;0.8
173;2014;0.6
173;2015;0.6
174;2000;0.1
174;2001;0.2
174;2002;0.1
174;2003;0.1
174;2004;0.1
174;2005;0.1
174;2006;0.1
174;2007;0.1
174;2008;0.1
174;2009;0.2
174;2010;0.2
174;2011;0.4
174;2012;0.6
174;2013;0.6
174;2014;0.4
174;2015;0.3
180;2000;0.1
180;2001;0.1
180;2002;0.1
180;2003;0.1
180;2004;0.1
180;2005;0.1
180;2006;0.1
180;2007;0.1
180;2008;0.2
180;2009;0.2
180;2010;0.3
180;2011;0.5
180;2012;0.7
180;2013;0.4
180;2014;0.4
180;2015;0.4
190;2000;0.5
190;2001;0.4
190;2002;0.3
190;2003;0.3
190;2004;0.2
190;2005;0.2
190;2006;0.2
190;2007;0.2
190;2008;0.2
190;2009;0.2
190;2010;NaN
190;2011;0.3
190;2012;0.4
190;2013;0.4
190;2014;0.3
190;2015;0.1
201;2000;0.3
201;2001;0.3
201;2002;0.3
201;2003;0.3
201;2004;0.3
201;2005;0.3
201;2006;0.3
201;2007;0.3
201;2008;0.3
201;2009;0.3
201;2010;0.5
201;2011;0.4
201;2012;0.6
201;2013;0.4
201;2014;0.4
201;2015;0.3
202;2000;NaN
202;2001;NaN
202;2002;0.2
202;2003;0.2
202;2004;0.2
202;2005;0.2
202;2006;NaN
202;2007;NaN
202;2008;NaN
202;2009;NaN
202;2010;0.2
202;2011;0.3
202;2012;0.2
202;2013;NaN
202;2014;NaN
202;2015;0.2
203;2000;NaN
203;2001;NaN
203;2002;NaN
203;2003;NaN
203;2004;NaN
203;2005;NaN
203;2006;NaN
203;2007;NaN
203;2008;NaN
203;2009;NaN
203;2010;NaN
203;2011;NaN
203;2012;NaN
203;2013;NaN
203;2014;NaN
203;2015;NaN
204;2000;NaN
204;2001;NaN
204;2002;NaN
204;2003;NaN
204;2004;NaN
204;2005;NaN
204;2006;NaN
204;2007;NaN
204;2008;NaN
204;2009;NaN
204;2010;NaN
204;2011;NaN
204;2012;NaN
204;2013;NaN
204;2014;0.5
204;2015;NaN
205;2000;0.2
205;2001;NaN
205;2002;0.3
205;2003;0.2
205;2004;0.2
205;2005;NaN
205;2006;NaN
205;2007;NaN
205;2008;NaN
205;2009;NaN
205;2010;NaN
205;2011;0.2
205;2012;0.2
205;2013;0.2
205;2014;0.2
205;2015;NaN
206;2000;0.3
206;2001;0.2
206;2002;NaN
206;2003;NaN
206;2004;NaN
206;2005;NaN
206;2006;NaN
206;2007;NaN
206;2008;NaN
206;2009;NaN
206;2010;NaN
206;2011;0.3
206;2012;0.3
206;2013;0.3
206;2014;0.2
206;2015;0.3
207;2000;0.4
207;2001;0.4
207;2002;0.4
207;2003;0.3
207;2004;0.3
207;2005;0.3
207;2006;0.2
207;2007;0.3
207;2008;0.3
207;2009;0.2
207;2010;0.1
207;2011;0.2
207;2012;0.3
207;2013;0.3
207;2014;0.2
207;2015;0.2
208;2000;0.2
208;2001;0.2
208;2002;0.2
208;2003;0.2
208;2004;0.2
208;2005;0.2
208;2006;0.2
208;2007;0.3
208;2008;0.3
208;2009;0.2
208;2010;0.3
208;2011;0.3
208;2012;0.3
208;2013;0.3
208;2014;0.3
208;2015;0.3
301;2000;0.4
301;2001;0.4
301;2002;0.4
301;2003;0.4
301;2004;NaN
301;2005;0.4
301;2006;NaN
301;2007;NaN
301;2008;NaN
301;2009;NaN
301;2010;NaN
301;2011;NaN
301;2012;NaN
301;2013;NaN
301;2014;0.4
301;2015;NaN
302;2000;NaN
302;2001;NaN
302;2002;NaN
302;2003;NaN
302;2004;NaN
302;2005;NaN
302;2006;NaN
302;2007;NaN
302;2008;NaN
302;2009;NaN
302;2010;NaN
302;2011;NaN
302;2012;NaN
302;2013;NaN
302;2014;NaN
302;2015;NaN
