wbe;jahr;anzahl_israelitische
062;2009;6
062;2010;4
062;2011;NaN
062;2012;NaN
062;2013;5
062;2014;6
062;2015;8
063;2000;8
063;2001;9
063;2002;9
063;2003;6
063;2004;6
063;2005;9
063;2006;10
063;2007;10
063;2008;10
063;2009;10
063;2010;9
063;2011;10
063;2012;8
063;2013;7
063;2014;6
063;2015;6
071;2000;45
071;2001;49
071;2002;45
071;2003;46
071;2004;46
071;2005;45
071;2006;46
071;2007;36
071;2008;39
071;2009;36
071;2010;35
071;2011;29
071;2012;32
071;2013;28
071;2014;27
071;2015;22
072;2000;42
072;2001;42
072;2002;40
072;2003;40
072;2004;35
072;2005;34
072;2006;30
072;2007;31
072;2008;27
072;2009;28
072;2010;24
072;2011;24
072;2012;20
072;2013;18
072;2014;18
072;2015;18
073;2000;NaN
073;2001;NaN
073;2002;NaN
073;2003;NaN
073;2004;NaN
073;2005;NaN
073;2006;NaN
073;2007;NaN
073;2008;NaN
073;2009;NaN
073;2010;NaN
073;2011;NaN
073;2012;NaN
073;2013;NaN
073;2014;NaN
073;2015;NaN
081;2000;77
081;2001;83
081;2002;80
081;2003;73
081;2004;65
081;2005;59
081;2006;67
081;2007;63
081;2008;64
081;2009;61
081;2010;66
081;2011;63
081;2012;52
081;2013;50
081;2014;46
081;2015;47
082;2000;79
082;2001;82
082;2002;84
082;2003;86
082;2004;84
082;2005;72
082;2006;74
082;2007;84
082;2008;80
082;2009;82
082;2010;84
082;2011;82
082;2012;81
082;2013;77
082;2014;75
082;2015;75
083;2000;14
083;2001;14
083;2002;16
083;2003;14
083;2004;15
083;2005;14
083;2006;12
083;2007;13
083;2008;15
083;2009;16
083;2010;11
083;2011;9
083;2012;8
083;2013;7
083;2014;9
083;2015;7
084;2000;26
084;2001;23
084;2002;18
084;2003;23
084;2004;23
084;2005;24
084;2006;25
084;2007;31
084;2008;28
084;2009;24
084;2010;22
084;2011;26
084;2012;28
084;2013;26
084;2014;26
084;2015;25
085;2000;45
085;2001;47
085;2002;47
085;2003;46
085;2004;39
085;2005;41
085;2006;41
085;2007;34
085;2008;35
085;2009;37
085;2010;42
085;2011;41
085;2012;41
085;2013;38
085;2014;33
085;2015;29
091;2000;157
091;2001;155
091;2002;141
091;2003;132
091;2004;130
091;2005;120
