wbe;jahr;anzahl_v
063;2009;1863
063;2010;1806
063;2011;1763
063;2012;1730
063;2013;1742
063;2014;1728
063;2015;1682
071;2000;2632
071;2001;2598
071;2002;2568
071;2003;2496
071;2004;2470
071;2005;2420
071;2006;2383
071;2007;2377
071;2008;2330
071;2009;2332
071;2010;2301
071;2011;2307
071;2012;2346
071;2013;2366
071;2014;2333
071;2015;2313
072;2000;1758
072;2001;1754
072;2002;1715
072;2003;1668
072;2004;1646
072;2005;1627
072;2006;1610
072;2007;1575
072;2008;1594
072;2009;1562
072;2010;1540
072;2011;1561
072;2012;1534
072;2013;1516
072;2014;1515
072;2015;1522
073;2000;108
073;2001;116
073;2002;120
073;2003;115
073;2004;110
073;2005;107
073;2006;106
073;2007;109
073;2008;101
073;2009;121
073;2010;130
073;2011;131
073;2012;137
073;2013;140
073;2014;140
073;2015;133
081;2000;924
081;2001;891
081;2002;908
081;2003;881
081;2004;892
081;2005;891
081;2006;880
081;2007;873
081;2008;861
081;2009;836
081;2010;827
081;2011;833
081;2012;847
081;2013;848
081;2014;831
081;2015;837
082;2000;916
082;2001;882
082;2002;863
082;2003;863
082;2004;848
082;2005;803
082;2006;786
082;2007;805
082;2008;806
082;2009;800
082;2010;790
082;2011;777
082;2012;761
082;2013;737
082;2014;737
082;2015;750
083;2000;1066
083;2001;1046
083;2002;1016
083;2003;985
083;2004;984
083;2005;942
083;2006;903
083;2007;878
083;2008;900
083;2009;888
083;2010;860
083;2011;870
083;2012;874
083;2013;863
083;2014;837
083;2015;834
084;2000;683
084;2001;669
084;2002;668
084;2003;655
084;2004;661
084;2005;659
084;2006;646
084;2007;634
084;2008;618
084;2009;618
084;2010;634
084;2011;629
084;2012;621
084;2013;632
084;2014;619
084;2015;621
085;2000;2553
085;2001;2538
085;2002;2498
085;2003;2446
085;2004;2387
085;2005;2382
085;2006;2328
085;2007;2326
085;2008;2316
085;2009;2252
085;2010;2211
085;2011;2233
085;2012;2245
085;2013;2249
085;2014;2263
085;2015;2265
091;2000;1788
091;2001;1734
091;2002;1674
091;2003;1700
091;2004;1663
091;2005;1636
091;2006;1652
091;2007;1630
091;2008;1626
091;2009;1617
091;2010;1638
091;2011;1607
091;2012;1628
091;2013;1590
091;2014;1606
091;2015;1586
092;2000;842
092;2001;823
092;2002;813
092;2003;820
092;2004;803
092;2005;786
092;2006;765
092;2007;769
092;2008;745
092;2009;746
092;2010;718
092;2011;715
092;2012;730
092;2013;721
092;2014;729
092;2015;735
101;2000;2457
101;2001;2407
101;2002;2403
101;2003;2380
101;2004;2367
101;2005;2255
101;2006;2180
101;2007;2196
101;2008;2137
101;2009;2126
101;2010;2100
101;2011;2078
101;2012;2043
101;2013;2063
101;2014;2063
101;2015;2060
102;2000;1737
102;2001;1704
102;2002;1724
102;2003;1713
102;2004;1733
102;2005;1717
102;2006;1669
102;2007;1624
102;2008;1586
102;2009;1577
102;2010;1505
102;2011;1467
102;2012;1496
102;2013;1515
102;2014;1525
102;2015;1453
103;2000;2404
103;2001;2407
103;2002;2362
103;2003;2391
103;2004;2371
103;2005;2346
103;2006;2334
103;2007;2287
103;2008;2267
103;2009;2202
103;2010;2234
103;2011;2300
103;2012;2241
103;2013;2208
103;2014;2133
103;2015;2157
111;2000;1300
111;2001;1280
111;2002;1277
111;2003;1258
111;2004;1232
111;2005;1231
111;2006;1168
111;2007;1171
111;2008;1157
111;2009;1151
111;2010;1138
111;2011;1115
111;2012;1099
111;2013;1084
111;2014;1106
111;2015;1116
112;2000;788
112;2001;772
112;2002;751
112;2003;734
112;2004;722
112;2005;704
112;2006;729
112;2007;686
112;2008;671
112;2009;651
112;2010;639
112;2011;644
112;2012;666
112;2013;673
112;2014;666
112;2015;643
113;2000;2733
113;2001;2681
113;2002;2715
113;2003;2775
113;2004;2720
113;2005;2682
113;2006;2610
113;2007;2587
113;2008;2585
113;2009;2523
113;2010;2443
113;2011;2471
113;2012;2430
113;2013;2464
113;2014;2377
113;2015;2324
114;2000;723
114;2001;694
114;2002;660
114;2003;622
114;2004;634
114;2005;601
114;2006;579
114;2007;557
114;2008;540
114;2009;578
114;2010;676
114;2011;733
114;2012;764
114;2013;764
114;2014;743
114;2015;766
115;2000;1783
115;2001;1755
115;2002;1785
115;2003;1774
115;2004;1736
115;2005;1706
115;2006;1731
115;2007;1734
115;2008;1696
115;2009;1712
115;2010;1699
115;2011;1646
115;2012;1623
115;2013;1634
115;2014;1652
115;2015;1626
121;2000;484
121;2001;466
121;2002;481
121;2003;459
121;2004;485
121;2005;462
121;2006;445
121;2007;417
121;2008;392
121;2009;388
121;2010;380
121;2011;353
121;2012;365
121;2013;379
121;2014;385
121;2015;391
122;2000;337
122;2001;322
122;2002;310
122;2003;312
122;2004;295
122;2005;266
122;2006;269
122;2007;265
122;2008;253
122;2009;265
122;2010;277
122;2011;282
122;2012;288
122;2013;295
122;2014;290
122;2015;257
131;2000;370
131;2001;383
131;2002;379
131;2003;391
131;2004;372
131;2005;368
131;2006;369
131;2007;348
131;2008;332
131;2009;348
131;2010;336
131;2011;328
131;2012;351
131;2013;363
131;2014;347
131;2015;330
132;2000;1160
132;2001;1146
132;2002;1118
132;2003;1137
132;2004;1122
132;2005;1080
132;2006;1094
132;2007;1111
132;2008;1120
132;2009;1114
132;2010;1128
132;2011;1116
132;2012;1138
132;2013;1147
132;2014;1111
132;2015;1083
141;2000;969
