wbe;jahr;ant_verheiratet
062;2001;40.0
062;2002;39.6
062;2003;39.7
062;2004;39.2
062;2005;39.6
062;2006;38.6
062;2007;37.2
062;2008;36.3
062;2009;35.8
062;2010;35.6
062;2011;36.0
062;2012;35.9
062;2013;35.8
062;2014;34.9
062;2015;34.8
063;2000;38.2
063;2001;38.3
063;2002;37.6
063;2003;37.5
063;2004;38.3
063;2005;36.9
063;2006;36.3
063;2007;35.6
063;2008;35.0
063;2009;34.9
063;2010;34.1
063;2011;33.3
063;2012;32.4
063;2013;32.3
063;2014;31.6
063;2015;31.0
071;2000;49.0
071;2001;48.6
071;2002;48.6
071;2003;47.4
071;2004;46.9
071;2005;46.7
071;2006;46.3
071;2007;45.3
071;2008;44.3
071;2009;44.0
071;2010;43.4
071;2011;43.2
071;2012;43.3
071;2013;43.3
071;2014;43.0
071;2015;42.6
072;2000;52.1
072;2001;52.1
072;2002;50.9
072;2003;50.0
072;2004;49.7
072;2005;49.2
072;2006;48.8
072;2007;48.2
072;2008;48.5
072;2009;47.5
072;2010;46.6
072;2011;46.8
072;2012;46.5
072;2013;45.9
072;2014;45.4
072;2015;45.4
073;2000;46.4
073;2001;47.7
073;2002;48.6
073;2003;46.7
073;2004;45.6
073;2005;45.0
073;2006;44.9
073;2007;47.2
073;2008;46.1
073;2009;47.8
073;2010;46.6
073;2011;47.8
073;2012;46.9
073;2013;47.3
073;2014;47.9
073;2015;47.5
081;2000;41.5
081;2001;40.8
081;2002;41.0
081;2003;40.2
081;2004;40.9
081;2005;40.6
081;2006;40.4
081;2007;40.0
081;2008;39.3
081;2009;38.5
081;2010;38.2
081;2011;37.9
081;2012;38.4
081;2013;37.8
081;2014;37.6
081;2015;37.7
082;2000;48.4
082;2001;46.7
082;2002;46.0
082;2003;46.1
082;2004;45.5
082;2005;44.4
082;2006;43.5
082;2007;43.7
082;2008;43.5
082;2009;42.9
082;2010;42.9
082;2011;41.6
082;2012;41.1
082;2013;39.9
082;2014;39.4
082;2015;39.2
083;2000;46.8
083;2001;46.5
083;2002;45.1
083;2003;44.1
083;2004;42.9
083;2005;41.4
083;2006;40.1
083;2007;39.6
083;2008;39.8
083;2009;38.8
083;2010;38.2
083;2011;38.8
083;2012;38.3
083;2013;37.4
083;2014;36.1
083;2015;36.2
084;2000;42.1
084;2001;41.9
084;2002;41.2
084;2003;40.9
084;2004;41.0
084;2005;41.1
084;2006;40.6
084;2007;39.5
084;2008;39.0
084;2009;38.8
084;2010;39.6
084;2011;39.0
084;2012;38.7
084;2013;39.1
084;2014;37.4
084;2015;37.8
085;2000;46.8
085;2001;46.7
085;2002;46.4
085;2003;45.8
085;2004;44.7
