wbe;jahr;anteil_weiblich
062;2001;50.0
062;2002;49.7
062;2003;49.3
062;2004;49.2
062;2005;49.2
062;2006;49.2
062;2007;48.9
062;2008;48.8
062;2009;48.6
062;2010;49.1
062;2011;48.9
062;2012;49.0
062;2013;48.9
062;2014;49.2
062;2015;48.9
063;2000;52.4
063;2001;52.7
063;2002;52.3
063;2003;52.1
063;2004;51.6
063;2005;52.4
063;2006;52.2
063;2007;51.8
063;2008;52.3
063;2009;52.2
063;2010;52.7
063;2011;52.6
063;2012;51.9
063;2013;52.7
063;2014;52.9
063;2015;52.2
071;2000;54.1
071;2001;53.7
071;2002;53.8
071;2003;53.4
071;2004;53.1
071;2005;53.4
071;2006;53.5
071;2007;53.4
071;2008;53.5
071;2009;53.0
071;2010;52.8
071;2011;52.9
071;2012;52.6
071;2013;52.2
071;2014;52.3
071;2015;52.4
072;2000;53.6
072;2001;53.4
072;2002;53.9
072;2003;53.9
072;2004;53.9
072;2005;54.0
072;2006;54.0
072;2007;54.1
072;2008;53.6
072;2009;53.7
072;2010;53.4
072;2011;53.0
072;2012;53.0
072;2013;52.2
072;2014;52.7
072;2015;52.7
073;2000;54.5
073;2001;54.3
073;2002;54.3
073;2003;54.5
073;2004;55.6
073;2005;55.5
073;2006;56.4
073;2007;54.5
073;2008;56.6
073;2009;55.3
073;2010;54.8
073;2011;54.7
073;2012;55.5
073;2013;55.1
073;2014;54.8
073;2015;55.0
081;2000;54.5
081;2001;54.1
081;2002;54.5
081;2003;54.8
081;2004;54.3
081;2005;54.7
081;2006;54.9
081;2007;55.0
081;2008;54.8
081;2009;55.4
081;2010;54.6
081;2011;55.0
081;2012;55.0
081;2013;54.4
081;2014;54.1
081;2015;53.3
082;2000;56.2
082;2001;56.2
082;2002;55.6
082;2003;55.7
082;2004;55.6
082;2005;56.0
082;2006;55.5
082;2007;54.9
082;2008;54.7
082;2009;55.1
082;2010;54.6
082;2011;54.5
082;2012;54.1
082;2013;54.7
082;2014;54.4
082;2015;54.4
083;2000;57.0
083;2001;57.3
083;2002;56.7
083;2003;57.3
083;2004;57.5
083;2005;57.3
083;2006;56.8
083;2007;57.1
083;2008;56.9
083;2009;57.0
083;2010;57.4
083;2011;56.9
083;2012;56.1
083;2013;56.2
083;2014;56.0
083;2015;56.1
084;2000;55.6
084;2001;55.9
084;2002;55.4
084;2003;55.9
084;2004;56.3
084;2005;56.5
084;2006;55.5
084;2007;55.8
084;2008;55.5
084;2009;55.6
084;2010;56.0
084;2011;56.2
084;2012;56.4
084;2013;56.1
084;2014;56.3
084;2015;54.7
085;2000;54.4
085;2001;54.3
085;2002;54.3
085;2003;54.3
085;2004;54.2
085;2005;53.9
085;2006;54.0
085;2007;54.1
085;2008;54.1
085;2009;53.9
085;2010;53.8
085;2011;54.2
085;2012;54.0
085;2013;53.6
085;2014;53.7
085;2015;53.6
091;2000;55.8
091;2001;55.7
091;2002;55.8
091;2003;55.5
091;2004;55.5
091;2005;55.4
091;2006;55.4
091;2007;55.5
091;2008;55.7
091;2009;55.4
091;2010;54.9
091;2011;54.7
091;2012;55.0
091;2013;54.6
091;2014;54.6
091;2015;54.4
092;2000;56.5
092;2001;56.4
092;2002;56.7
092;2003;56.4
092;2004;56.7
092;2005;57.2
092;2006;57.6
092;2007;57.2
092;2008;57.0
092;2009;57.2
092;2010;56.9
092;2011;56.5
092;2012;56.1
092;2013;55.3
092;2014;55.8
092;2015;55.9
101;2000;53.5
101;2001;53.7
101;2002;53.9
101;2003;53.7
101;2004;53.6
101;2005;53.6
101;2006;53.5
101;2007;53.1
101;2008;53.1
101;2009;53.1
101;2010;53.2
101;2011;52.6
