wbe;jahr;anteil_unter20
054;2005;14.6
054;2006;14.2
054;2007;14.7
054;2008;14.6
054;2009;14.9
054;2010;15.2
054;2011;14.7
054;2012;14.7
054;2013;14.6
054;2014;14.8
054;2015;14.8
055;2000;15.7
055;2001;15.1
055;2002;14.9
055;2003;14.3
055;2004;15.2
055;2005;15.7
055;2006;13.3
055;2007;14.4
055;2008;14.8
055;2009;14.1
055;2010;14.7
055;2011;14.5
055;2012;14.8
055;2013;15.6
055;2014;14.8
055;2015;12.9
061;2000;17.7
061;2001;17.4
061;2002;18.1
061;2003;18.1
061;2004;17.4
061;2005;17.5
061;2006;17.1
061;2007;15.9
061;2008;15.3
061;2009;14.7
061;2010;14.5
061;2011;14.9
061;2012;15.2
061;2013;14.8
061;2014;14.8
061;2015;14.5
062;2000;17.0
062;2001;17.2
062;2002;17.6
062;2003;16.9
062;2004;16.8
062;2005;16.6
062;2006;16.4
062;2007;15.9
062;2008;15.7
062;2009;15.9
062;2010;15.6
062;2011;15.1
062;2012;14.7
062;2013;14.4
062;2014;14.0
062;2015;14.2
063;2000;17.1
063;2001;16.7
063;2002;16.6
063;2003;16.5
063;2004;15.5
063;2005;14.9
063;2006;13.9
063;2007;14.4
063;2008;14.4
063;2009;14.2
063;2010;14.4
063;2011;14.3
063;2012;14.1
063;2013;14.1
063;2014;14.6
063;2015;14.4
071;2000;17.7
071;2001;18.3
071;2002;18.3
071;2003;18.6
071;2004;18.9
071;2005;18.7
071;2006;18.3
071;2007;18.7
071;2008;19.4
071;2009;19.2
071;2010;19.3
071;2011;18.7
071;2012;18.9
071;2013;19.1
071;2014;19.4
071;2015;19.9
072;2000;20.3
072;2001;20.6
072;2002;20.4
072;2003;20.3
072;2004;20.1
072;2005;20.3
072;2006;19.8
072;2007;20.3
072;2008;20.0
072;2009;19.9
072;2010;20.5
072;2011;20.7
072;2012;20.9
072;2013;21.3
072;2014;22.0
072;2015;22.7
073;2000;24.0
073;2001;24.3
073;2002;23.1
073;2003;22.8
073;2004;22.8
073;2005;23.1
073;2006;24.2
073;2007;22.5
073;2008;22.8
073;2009;22.5
073;2010;24.0
073;2011;21.5
