wbe;jahr;anteil_maennlich
062;2001;50.0
062;2002;50.3
062;2003;50.7
062;2004;50.8
062;2005;50.8
062;2006;50.8
062;2007;51.1
062;2008;51.2
062;2009;51.4
062;2010;50.9
062;2011;51.1
062;2012;51.0
062;2013;51.1
062;2014;50.8
062;2015;51.1
063;2000;47.6
063;2001;47.3
063;2002;47.7
063;2003;47.9
063;2004;48.4
063;2005;47.6
063;2006;47.8
063;2007;48.2
063;2008;47.7
063;2009;47.8
063;2010;47.3
063;2011;47.4
063;2012;48.1
063;2013;47.3
063;2014;47.1
063;2015;47.8
071;2000;45.9
071;2001;46.3
071;2002;46.2
071;2003;46.6
071;2004;46.9
071;2005;46.6
071;2006;46.5
071;2007;46.6
071;2008;46.5
071;2009;47.0
071;2010;47.2
071;2011;47.1
071;2012;47.4
071;2013;47.8
071;2014;47.7
071;2015;47.6
072;2000;46.4
072;2001;46.6
072;2002;46.1
072;2003;46.1
072;2004;46.1
072;2005;46.0
072;2006;46.0
072;2007;45.9
072;2008;46.4
072;2009;46.3
072;2010;46.6
072;2011;47.0
072;2012;47.0
072;2013;47.8
072;2014;47.3
072;2015;47.3
073;2000;45.5
073;2001;45.7
073;2002;45.7
073;2003;45.5
073;2004;44.4
073;2005;44.5
073;2006;43.6
073;2007;45.5
073;2008;43.4
073;2009;44.7
073;2010;45.2
073;2011;45.3
073;2012;44.5
073;2013;44.9
073;2014;45.2
073;2015;45.0
081;2000;45.5
081;2001;45.9
081;2002;45.5
081;2003;45.2
081;2004;45.7
081;2005;45.3
081;2006;45.1
081;2007;45.0
081;2008;45.2
081;2009;44.6
081;2010;45.4
081;2011;45.0
081;2012;45.0
081;2013;45.6
081;2014;45.9
081;2015;46.7
082;2000;43.8
082;2001;43.8
082;2002;44.4
082;2003;44.3
082;2004;44.4
082;2005;44.0
082;2006;44.5
082;2007;45.1
082;2008;45.3
082;2009;44.9
082;2010;45.4
082;2011;45.5
082;2012;45.9
082;2013;45.3
082;2014;45.6
082;2015;45.6
083;2000;43.0
083;2001;42.7
083;2002;43.3
083;2003;42.7
083;2004;42.5
083;2005;42.7
083;2006;43.2
083;2007;42.9
083;2008;43.1
083;2009;43.0
083;2010;42.6
083;2011;43.1
083;2012;43.9
083;2013;43.8
083;2014;44.0
083;2015;43.9
084;2000;44.4
084;2001;44.1
084;2002;44.6
084;2003;44.1
084;2004;43.7
084;2005;43.5
084;2006;44.5
084;2007;44.2
084;2008;44.5
084;2009;44.4
084;2010;44.0
084;2011;43.8
084;2012;43.6
084;2013;43.9
084;2014;43.7
084;2015;45.3
085;2000;45.6
085;2001;45.7
085;2002;45.7
085;2003;45.7
