wbe;jahr;ant_eingetragen
091;2011;0.3
091;2012;0.4
091;2013;0.6
091;2014;0.6
091;2015;0.7
092;2000;0.0
092;2001;0.0
092;2002;0.0
092;2003;0.0
092;2004;0.0
092;2005;0.0
092;2006;0.0
092;2007;0.1
092;2008;0.2
092;2009;0.1
092;2010;0.1
092;2011;0.1
092;2012;0.1
092;2013;0.1
092;2014;0.0
092;2015;0.0
101;2000;0.0
101;2001;0.0
101;2002;0.0
101;2003;0.0
101;2004;0.0
101;2005;0.0
101;2006;0.0
101;2007;0.2
101;2008;0.2
101;2009;0.3
101;2010;0.4
101;2011;0.5
101;2012;0.5
101;2013;0.5
101;2014;0.5
101;2015;0.5
102;2000;0.0
102;2001;0.0
102;2002;0.0
102;2003;0.0
102;2004;0.0
102;2005;0.0
102;2006;0.0
102;2007;0.0
102;2008;0.0
102;2009;0.0
102;2010;0.1
102;2011;0.2
102;2012;0.2
102;2013;0.3
102;2014;0.2
102;2015;0.2
103;2000;0.0
103;2001;0.0
103;2002;0.0
103;2003;0.0
103;2004;0.0
103;2005;0.0
103;2006;0.0
103;2007;0.1
103;2008;0.1
103;2009;0.1
103;2010;0.1
103;2011;0.0
103;2012;0.0
103;2013;0.1
103;2014;0.0
103;2015;0.0
111;2000;0.0
111;2001;0.0
111;2002;0.0
111;2003;0.0
111;2004;0.0
111;2005;0.0
111;2006;0.0
111;2007;0.0
111;2008;0.1
111;2009;0.1
111;2010;0.2
111;2011;0.2
111;2012;0.2
111;2013;0.2
111;2014;0.3
111;2015;0.4
112;2000;0.0
112;2001;0.0
112;2002;0.0
112;2003;0.0
112;2004;0.0
112;2005;0.0
112;2006;0.0
112;2007;0.2
112;2008;0.5
112;2009;0.5
112;2010;0.3
112;2011;0.2
112;2012;0.5
112;2013;0.4
112;2014;0.3
112;2015;0.3
113;2000;0.0
113;2001;0.0
113;2002;0.0
113;2003;0.0
113;2004;0.0
113;2005;0.0
113;2006;0.0
113;2007;0.0
113;2008;0.1
113;2009;0.1
113;2010;0.1
113;2011;0.1
113;2012;0.2
113;2013;0.2
113;2014;0.1
113;2015;0.1
114;2000;0.0
114;2001;0.0
114;2002;0.0
114;2003;0.0
114;2004;0.0
114;2005;0.0
114;2006;0.0
114;2007;0.3
114;2008;0.3
114;2009;0.4
114;2010;0.3
114;2011;0.5
114;2012;0.4
114;2013;0.6
114;2014;0.6
114;2015;0.4
115;2000;0.0
115;2001;0.0
115;2002;0.0
115;2003;0.0
115;2004;0.0
115;2005;0.0
115;2006;0.0
115;2007;0.0
115;2008;0.0
115;2009;0.1
115;2010;0.1
115;2011;0.1
115;2012;0.0
115;2013;0.0
115;2014;0.0
115;2015;0.0
121;2000;0.0
121;2001;0.0
121;2002;0.0
121;2003;0.0
121;2004;0.0
121;2005;0.0
121;2006;0.0
121;2007;0.4
121;2008;0.4
121;2009;0.5
121;2010;0.4
121;2011;0.4
121;2012;0.5
121;2013;0.4
121;2014;0.2
121;2015;0.4
122;2000;0.0
122;2001;0.0
122;2002;0.0
122;2003;0.0
122;2004;0.0
122;2005;0.0
122;2006;0.0
122;2007;0.2
122;2008;0.5
122;2009;0.5
122;2010;0.2
122;2011;0.2
122;2012;0.2
122;2013;0.2
122;2014;0.3
122;2015;0.2
131;2000;0.0
131;2001;0.0
131;2002;0.0
131;2003;0.0
131;2004;0.0
131;2005;0.0
131;2006;0.0
131;2007;0.0
131;2008;0.0
131;2009;0.2
131;2010;0.4
131;2011;0.4
131;2012;0.5
131;2013;0.5
131;2014;0.3
131;2015;0.3
132;2000;0.0
132;2001;0.0
132;2002;0.0
132;2003;0.0
