wbe;jahr;anzahl_bs
063;2009;1383
063;2010;1415
063;2011;1435
063;2012;1433
063;2013;1416
063;2014;1441
063;2015;1438
071;2000;2670
071;2001;2645
071;2002;2602
071;2003;2529
071;2004;2483
071;2005;2382
071;2006;2356
071;2007;2361
071;2008;2320
071;2009;2296
071;2010;2291
071;2011;2296
071;2012;2293
071;2013;2278
071;2014;2241
071;2015;2219
072;2000;1789
072;2001;1757
072;2002;1737
072;2003;1716
072;2004;1702
072;2005;1664
072;2006;1638
072;2007;1590
072;2008;1614
072;2009;1596
072;2010;1575
072;2011;1596
072;2012;1568
072;2013;1539
072;2014;1517
072;2015;1514
073;2000;125
073;2001;123
073;2002;123
073;2003;125
073;2004;117
073;2005;113
073;2006;115
073;2007;116
073;2008;109
073;2009;117
073;2010;121
073;2011;118
073;2012;122
073;2013;126
073;2014;123
073;2015;120
081;2000;927
081;2001;911
081;2002;892
081;2003;903
081;2004;897
081;2005;872
081;2006;865
081;2007;858
081;2008;841
081;2009;813
081;2010;818
081;2011;822
081;2012;809
081;2013;811
081;2014;812
081;2015;831
082;2000;1019
082;2001;1003
082;2002;988
082;2003;952
082;2004;928
082;2005;895
082;2006;888
082;2007;896
082;2008;895
082;2009;885
082;2010;870
082;2011;879
082;2012;874
082;2013;863
082;2014;848
082;2015;854
083;2000;998
083;2001;990
083;2002;982
083;2003;960
083;2004;956
083;2005;930
083;2006;900
083;2007;882
083;2008;888
083;2009;868
083;2010;846
083;2011;880
083;2012;872
083;2013;879
083;2014;886
083;2015;887
084;2000;830
084;2001;797
084;2002;807
084;2003;786
084;2004;797
084;2005;765
084;2006;746
084;2007;714
084;2008;694
084;2009;688
084;2010;693
084;2011;698
084;2012;693
084;2013;664
084;2014;654
084;2015;630
085;2000;2794
085;2001;2738
085;2002;2683
085;2003;2637
085;2004;2589
085;2005;2589
085;2006;2530
085;2007;2553
085;2008;2536
085;2009;2529
085;2010;2518
085;2011;2557
085;2012;2574
085;2013;2531
085;2014;2483
085;2015;2482
091;2000;1892
091;2001;1853
091;2002;1852
091;2003;1816
091;2004;1811
091;2005;1770
091;2006;1738
091;2007;1700
091;2008;1691
091;2009;1700
091;2010;1688
091;2011;1705
091;2012;1699
091;2013;1709
091;2014;1678
091;2015;1679
092;2000;989
092;2001;966
092;2002;939
092;2003;927
092;2004;916
092;2005;914
092;2006;904
092;2007;879
092;2008;845
092;2009;834
092;2010;836
092;2011;831
092;2012;829
092;2013;811
092;2014;816
092;2015;802
101;2000;1931
101;2001;1932
101;2002;1919
101;2003;1865
