wbe;jahr;anteil_sess5
011;2000;65.3
011;2001;63.0
011;2002;67.7
011;2003;66.0
011;2004;59.1
011;2005;55.8
011;2006;55.3
011;2007;51.1
011;2008;56.0
011;2009;60.5
011;2010;59.5
011;2011;60.9
011;2012;61.9
011;2013;56.8
011;2014;56.7
011;2015;62.5
012;2000;43.5
012;2001;44.9
012;2002;46.9
012;2003;46.6
012;2004;47.2
012;2005;48.8
012;2006;53.8
012;2007;52.0
012;2008;52.0
012;2009;51.6
012;2010;47.4
012;2011;46.8
012;2012;47.2
012;2013;42.2
012;2014;43.7
012;2015;44.4
013;2000;46.4
013;2001;44.7
013;2002;41.9
013;2003;44.8
013;2004;47.9
013;2005;48.8
013;2006;50.2
013;2007;53.9
013;2008;49.6
013;2009;50.3
013;2010;48.3
013;2011;47.9
013;2012;47.5
013;2013;47.2
013;2014;46.0
013;2015;46.8
014;2000;50.7
014;2001;49.8
014;2002;49.8
014;2003;50.3
014;2004;51.9
014;2005;49.9
014;2006;52.2
014;2007;55.6
014;2008;56.6
014;2009;56.7
014;2010;53.5
014;2011;52.3
014;2012;47.9
014;2013;45.6
014;2014;46.2
014;2015;46.8
021;2000;55.0
021;2001;54.2
021;2002;54.9
021;2003;55.4
021;2004;54.0
021;2005;52.9
021;2006;52.1
021;2007;51.9
021;2008;49.8
021;2009;47.0
021;2010;47.4
021;2011;43.3
021;2012;42.9
021;2013;42.8
021;2014;44.2
021;2015;43.7
022;2000;50.4
022;2001;52.7
022;2002;53.8
022;2003;53.3
022;2004;53.0
022;2005;52.4
022;2006;51.0
022;2007;50.0
022;2008;47.1
022;2009;47.9
022;2010;45.2
022;2011;45.7
022;2012;45.8
022;2013;44.0
022;2014;44.0
022;2015;42.4
023;2000;43.3
023;2001;45.1
023;2002;45.1
023;2003;43.7
023;2004;46.6
023;2005;45.1
023;2006;46.4
023;2007;46.2
023;2008;43.5
023;2009;42.0
023;2010;41.2
023;2011;41.8
023;2012;41.3
023;2013;40.6
023;2014;38.1
023;2015;37.3
024;2000;50.8
024;2001;49.8
024;2002;49.0
024;2003;48.3
024;2004;49.2
024;2005;49.0
024;2006;48.8
024;2007;48.1
024;2008;47.3
024;2009;42.3
024;2010;40.2
024;2011;39.5
024;2012;40.0
024;2013;38.7
024;2014;40.3
024;2015;37.1
025;2000;63.8
025;2001;64.6
025;2002;63.7
025;2003;61.1
025;2004;57.3
025;2005;57.2
025;2006;54.9
025;2007;53.7
025;2008;52.8
025;2009;52.4
025;2010;53.1
025;2011;55.7
025;2012;56.5
025;2013;54.3
025;2014;51.4
025;2015;50.4
026;2000;56.9
026;2001;55.8
026;2002;56.8
026;2003;59.8
026;2004;62.8
026;2005;60.8
026;2006;62.8
026;2007;65.4
026;2008;66.2
026;2009;64.6
026;2010;66.8
026;2011;61.9
026;2012;62.5
026;2013;61.8
026;2014;61.2
026;2015;66.2
031;2000;46.3
031;2001;44.9
031;2002;44.2
031;2003;43.1
031;2004;44.0
031;2005;44.2
031;2006;45.5
031;2007;46.2
031;2008;44.4
031;2009;43.7
031;2010;44.1
031;2011;43.2
031;2012;42.8
031;2013;42.3
031;2014;42.4
031;2015;42.1
032;2000;53.6
032;2001;52.4
032;2002;52.1
032;2003;51.9
032;2004;51.2
032;2005;51.2
032;2006;52.6
032;2007;53.2
032;2008;53.9
032;2009;53.7
032;2010;52.5
032;2011;52.0
032;2012;51.7
032;2013;52.1
032;2014;52.7
032;2015;52.7
033;2000;52.0
033;2001;52.8
033;2002;51.0
033;2003;50.1
033;2004;50.6
033;2005;50.3
033;2006;51.0
033;2007;53.2
033;2008;52.7
033;2009;52.1
033;2010;50.2
033;2011;48.0
033;2012;48.2
033;2013;49.9
033;2014;50.3
033;2015;51.0
034;2000;37.9
034;2001;43.0
034;2002;39.8
034;2003;37.4
034;2004;38.7
034;2005;37.3
034;2006;34.8
034;2007;37.9
034;2008;46.7
034;2009;45.4
034;2010;46.4
034;2011;48.0
034;2012;37.7
034;2013;32.4
034;2014;33.2
034;2015;34.6
041;2000;51.9
