wbe;jahr;gesbev
073;2005;238
073;2006;236
073;2007;231
073;2008;219
073;2009;253
073;2010;279
073;2011;274
073;2012;292
073;2013;296
073;2014;292
073;2015;280
081;2000;2224
081;2001;2184
081;2002;2214
081;2003;2192
081;2004;2182
081;2005;2192
081;2006;2179
081;2007;2181
081;2008;2193
081;2009;2172
081;2010;2164
081;2011;2196
081;2012;2206
081;2013;2241
081;2014;2210
081;2015;2218
082;2000;1892
082;2001;1889
082;2002;1878
082;2003;1870
082;2004;1863
082;2005;1810
082;2006;1808
082;2007;1844
082;2008;1855
082;2009;1864
082;2010;1842
082;2011;1866
082;2012;1852
082;2013;1846
082;2014;1872
082;2015;1911
083;2000;2280
083;2001;2251
083;2002;2253
083;2003;2236
083;2004;2294
083;2005;2276
083;2006;2250
083;2007;2215
083;2008;2262
083;2009;2286
083;2010;2251
083;2011;2245
083;2012;2280
083;2013;2310
083;2014;2318
083;2015;2306
084;2000;1623
084;2001;1595
084;2002;1620
084;2003;1602
084;2004;1612
084;2005;1602
084;2006;1590
084;2007;1607
084;2008;1586
084;2009;1591
084;2010;1599
084;2011;1612
084;2012;1605
084;2013;1616
084;2014;1656
084;2015;1642
085;2000;5460
085;2001;5438
085;2002;5383
085;2003;5335
085;2004;5339
085;2005;5337
085;2006;5296
085;2007;5368
085;2008;5353
085;2009;5356
085;2010;5278
085;2011;5335
085;2012;5403
085;2013;5395
085;2014;5433
085;2015;5484
091;2000;4859
091;2001;4811
091;2002;4805
091;2003;4842
091;2004;4868
091;2005;4865
091;2006;4858
091;2007;4883
091;2008;4931
091;2009;5008
091;2010;5015
091;2011;5005
091;2012;5037
091;2013;5005
091;2014;5017
091;2015;5024
092;2000;1792
092;2001;1760
092;2002;1745
092;2003;1776
092;2004;1763
092;2005;1773
092;2006;1778
092;2007;1785
092;2008;1761
092;2009;1760
092;2010;1754
092;2011;1765
092;2012;1795
092;2013;1791
092;2014;1823
092;2015;1817
101;2000;6284
101;2001;6188
101;2002;6227
101;2003;6257
101;2004;6294
101;2005;6087
101;2006;6074
101;2007;6157
101;2008;6149
101;2009;6159
101;2010;6269
101;2011;6281
101;2012;6243
101;2013;6323
101;2014;6432
101;2015;6434
102;2000;4417
102;2001;4415
102;2002;4424
102;2003;4436
102;2004;4479
102;2005;4368
102;2006;4319
102;2007;4285
102;2008;4329
102;2009;4383
102;2010;4351
102;2011;4389
102;2012;4526
102;2013;4578
102;2014;4590
102;2015;4587
103;2000;5209
103;2001;5296
103;2002;5249
103;2003;5314
103;2004;5259
103;2005;5211
103;2006;5211
103;2007;5241
103;2008;5251
103;2009;5202
103;2010;5355
103;2011;5448
103;2012;5426
103;2013;5479
103;2014;5432
103;2015;5571
111;2000;3658
111;2001;3653
111;2002;3684
111;2003;3711
111;2004;3681
111;2005;3649
111;2006;3623
111;2007;3672
111;2008;3702
111;2009;3685
111;2010;3715
111;2011;3675
111;2012;3696
111;2013;3751
111;2014;3759
111;2015;3703
112;2000;1969
112;2001;1944
112;2002;1934
112;2003;1884
112;2004;1903
112;2005;1909
112;2006;1943
112;2007;1935
112;2008;1958
112;2009;1946
112;2010;1954
112;2011;1944
112;2012;1976
112;2013;1988
112;2014;1989
112;2015;1952
113;2000;6681
113;2001;6697
113;2002;6860
113;2003;6871
113;2004;6844
113;2005;6818
113;2006;6800
113;2007;6768
113;2008;6854
113;2009;6860
113;2010;6827
113;2011;6930
113;2012;6941
113;2013;7051
113;2014;6994
113;2015;6940
114;2000;1687
114;2001;1648
114;2002;1616
114;2003;1554
114;2004;1577
114;2005;1515
114;2006;1455
114;2007;1441
114;2008;1440
114;2009;1565
114;2010;1825
114;2011;1973
114;2012;2060
114;2013;2057
114;2014;2023
114;2015;2047
115;2000;3943
115;2001;3907
115;2002;3909
115;2003;3891
115;2004;3860
115;2005;3821
115;2006;3846
115;2007;3804
115;2008;3807
115;2009;3875
115;2010;3856
115;2011;3827
115;2012;3833
115;2013;3857
115;2014;3972
115;2015;3919
121;2000;1501
121;2001;1503
121;2002;1519
121;2003;1474
121;2004;1495
121;2005;1456
121;2006;1437
121;2007;1410
121;2008;1395
121;2009;1430
121;2010;1395
121;2011;1379
121;2012;1399
121;2013;1448
121;2014;1461
121;2015;1469
122;2000;844
122;2001;837
122;2002;845
122;2003;827
122;2004;819
122;2005;799
122;2006;811
122;2007;803
122;2008;819
122;2009;852
122;2010;870
122;2011;892
122;2012;889
122;2013;932
122;2014;984
122;2015;966
131;2000;894
131;2001;908
131;2002;917
131;2003;938
131;2004;915
131;2005;905
131;2006;900
131;2007;920
131;2008;912
131;2009;949
131;2010;924
131;2011;928
131;2012;942
131;2013;970
131;2014;950
131;2015;978
132;2000;2892
132;2001;2871
132;2002;2856
132;2003;2845
132;2004;2874
132;2005;2838
132;2006;2861
