wbe;jahr;anteil_bs
054;2005;47.4
054;2006;46.1
054;2007;44.5
054;2008;44.6
054;2009;44.4
054;2010;44.0
054;2011;44.2
054;2012;43.1
054;2013;43.2
054;2014;42.2
054;2015;41.7
055;2000;33.5
055;2001;32.9
055;2002;37.7
055;2003;38.1
055;2004;39.3
055;2005;36.6
055;2006;36.0
055;2007;37.8
055;2008;36.8
055;2009;35.9
055;2010;35.3
055;2011;36.9
055;2012;37.3
055;2013;37.4
055;2014;38.5
055;2015;40.5
061;2000;24.5
061;2001;24.3
061;2002;24.1
061;2003;24.7
061;2004;25.9
061;2005;26.6
061;2006;25.5
061;2007;26.2
061;2008;27.8
061;2009;27.9
061;2010;28.6
061;2011;28.7
061;2012;29.0
061;2013;29.0
061;2014;28.7
061;2015;27.9
062;2000;23.2
062;2001;23.2
062;2002;23.8
062;2003;24.4
062;2004;23.8
062;2005;24.3
062;2006;24.4
062;2007;25.3
062;2008;25.7
062;2009;25.6
062;2010;26.6
062;2011;26.3
062;2012;25.6
062;2013;25.6
062;2014;25.6
062;2015;25.7
063;2000;26.0
063;2001;25.5
063;2002;25.5
063;2003;25.8
063;2004;25.5
063;2005;26.3
063;2006;26.9
063;2007;26.4
063;2008;26.3
063;2009;25.9
063;2010;26.7
063;2011;27.1
063;2012;26.8
063;2013;26.3
063;2014;26.4
063;2015;26.5
071;2000;49.7
071;2001;49.5
071;2002;49.2
071;2003;48.0
071;2004;47.2
071;2005;46.0
071;2006;45.8
071;2007;44.9
071;2008;44.2
071;2009;43.3
071;2010;43.2
071;2011;43.0
071;2012;42.4
071;2013;41.7
071;2014;41.3
071;2015;40.9
072;2000;53.0
072;2001;52.2
072;2002;51.5
072;2003;51.4
072;2004;51.4
072;2005;50.3
072;2006;49.7
072;2007;48.7
072;2008;49.1
072;2009;48.5
072;2010;47.6
072;2011;47.8
072;2012;47.5
072;2013;46.6
072;2014;45.4
072;2015;45.1
073;2000;53.6
073;2001;50.6
073;2002;49.8
073;2003;50.8
073;2004;48.5
073;2005;47.5
073;2006;48.7
073;2007;50.2
073;2008;49.8
073;2009;46.2
073;2010;43.4
073;2011;43.1
073;2012;41.8
073;2013;42.6
073;2014;42.1
073;2015;42.9
081;2000;41.7
081;2001;41.7
081;2002;40.3
081;2003;41.2
081;2004;41.1
081;2005;39.8
081;2006;39.7
081;2007;39.3
081;2008;38.3
081;2009;37.4
081;2010;37.8
081;2011;37.4
081;2012;36.7
081;2013;36.2
081;2014;36.7
081;2015;37.5
082;2000;53.9
082;2001;53.1
082;2002;52.6
082;2003;50.9
082;2004;49.8
082;2005;49.4
082;2006;49.1
082;2007;48.6
082;2008;48.2
082;2009;47.5
082;2010;47.2
082;2011;47.1
082;2012;47.2
082;2013;46.7
082;2014;45.3
082;2015;44.7
083;2000;43.8
083;2001;44.0
083;2002;43.6
083;2003;42.9
083;2004;41.7
083;2005;40.9
083;2006;40.0
083;2007;39.8
083;2008;39.3
083;2009;38.0
083;2010;37.6
083;2011;39.2
083;2012;38.2
083;2013;38.1
083;2014;38.2
083;2015;38.5
084;2000;51.1
084;2001;50.0
084;2002;49.8
084;2003;49.1
084;2004;49.4
084;2005;47.8
084;2006;46.9
084;2007;44.4
084;2008;43.8
084;2009;43.2
084;2010;43.3
084;2011;43.3
084;2012;43.2
084;2013;41.1
084;2014;39.5
084;2015;38.4
085;2000;51.2
085;2001;50.3
085;2002;49.8
085;2003;49.4
085;2004;48.5
085;2005;48.5
085;2006;47.8
085;2007;47.6
085;2008;47.4
085;2009;47.2
085;2010;47.7
085;2011;47.9
085;2012;47.6
085;2013;46.9
085;2014;45.7
085;2015;45.3
091;2000;38.9
091;2001;38.5
091;2002;38.5
091;2003;37.5
091;2004;37.2
091;2005;36.4
091;2006;35.8
091;2007;34.8
091;2008;34.3
091;2009;33.9
091;2010;33.7
091;2011;34.1
091;2012;33.7
091;2013;34.1
091;2014;33.4
091;2015;33.4
092;2000;55.2
092;2001;54.9
092;2002;53.8
092;2003;52.2
092;2004;52.0
092;2005;51.6
092;2006;50.8
092;2007;49.2
092;2008;48.0
092;2009;47.4
092;2010;47.7
092;2011;47.1
092;2012;46.2
092;2013;45.3
092;2014;44.8
092;2015;44.1
101;2000;30.7
101;2001;31.2
101;2002;30.8
101;2003;29.8
101;2004;29.3
101;2005;29.5
101;2006;29.1
101;2007;29.3
101;2008;29.3
101;2009;29.4
101;2010;30.0
101;2011;30.2
101;2012;30.5
101;2013;29.8
101;2014;29.8
101;2015;29.2
102;2000;38.2
102;2001;37.3
102;2002;35.8
102;2003;36.0
102;2004;34.9
102;2005;35.1
102;2006;35.7
102;2007;36.0
102;2008;35.5
102;2009;34.8
102;2010;33.8
102;2011;33.7
102;2012;32.4
102;2013;31.5
102;2014;31.7
102;2015;32.0
103;2000;34.7
103;2001;34.0
103;2002;33.8
103;2003;33.6
103;2004;34.3
103;2005;34.9
103;2006;33.7
103;2007;33.3
103;2008;34.2
103;2009;34.1
103;2010;34.0
103;2011;33.5
103;2012;33.0
103;2013;32.9
103;2014;32.8
103;2015;32.8
111;2000;27.2
111;2001;27.7
111;2002;28.0
111;2003;28.0
111;2004;27.4
111;2005;27.5
111;2006;26.4
111;2007;26.9
111;2008;26.5
111;2009;26.2
111;2010;26.5
111;2011;27.7
111;2012;27.6
111;2013;26.4
111;2014;26.1
111;2015;26.5
112;2000;32.3
112;2001;33.1
112;2002;33.2
112;2003;33.3
112;2004;32.2
112;2005;32.2
112;2006;31.9
112;2007;33.0
112;2008;33.7
112;2009;33.4
112;2010;33.9
112;2011;32.5
112;2012;31.5
112;2013;31.7
112;2014;31.3
112;2015;30.8
113;2000;21.2
113;2001;21.0
113;2002;20.9
113;2003;20.5
113;2004;20.5
113;2005;20.8
113;2006;20.7
113;2007;22.3
113;2008;22.6
113;2009;22.7
113;2010;23.2
113;2011;23.0
113;2012;23.2
113;2013;23.1
113;2014;23.2
113;2015;23.5
114;2000;12.7
114;2001;14.9
114;2002;15.2
114;2003;17.3
114;2004;18.3
114;2005;17.5
114;2006;17.7
114;2007;18.5
114;2008;20.3
114;2009;20.4
114;2010;20.8
114;2011;19.0
114;2012;18.5
114;2013;17.9
114;2014;19.2
114;2015;19.2
115;2000;38.4
115;2001;38.1
115;2002;37.1
115;2003;38.2
115;2004;38.6
115;2005;39.0
115;2006;38.9
115;2007;39.8
115;2008;40.1
115;2009;40.1
115;2010;39.4
115;2011;39.0
115;2012;38.4
115;2013;37.9
115;2014;37.7
115;2015;37.8
121;2000;36.0
121;2001;34.7
121;2002;34.0
121;2003;33.4
121;2004;32.9
121;2005;33.2
121;2006;33.5
121;2007;32.6
121;2008;33.4
121;2009;32.0
121;2010;32.5
121;2011;32.1
121;2012;29.9
121;2013;27.4
121;2014;28.1
121;2015;29.1
122;2000;34.7
122;2001;35.2
122;2002;35.7
122;2003;34.9
122;2004;33.8
122;2005;35.7
122;2006;33.9
122;2007;30.3
122;2008;30.6
122;2009;30.8
122;2010;29.7
122;2011;30.9
122;2012;30.9
122;2013;29.6
122;2014;27.6
122;2015;28.9
131;2000;28.1
131;2001;28.9
131;2002;27.6
131;2003;28.5
131;2004;29.7
131;2005;29.6
131;2006;28.0
131;2007;28.3
131;2008;28.7
131;2009;27.5
131;2010;26.9
131;2011;27.4
131;2012;26.9
131;2013;26.7
131;2014;27.4
131;2015;28.0
132;2000;25.4
132;2001;25.3
132;2002;25.7
132;2003;25.3
132;2004;24.7
132;2005;25.1
132;2006;24.4
132;2007;25.8
132;2008;25.9
132;2009;25.8
132;2010;26.3
132;2011;26.8
132;2012;26.3
132;2013;26.2
132;2014;26.9
132;2015;26.8
141;2000;38.2
141;2001;36.9
141;2002;35.9
141;2003;34.9
141;2004;34.7
141;2005;34.6
141;2006;33.1
141;2007;33.3
141;2008;32.9
141;2009;32.4
141;2010;33.0
141;2011;33.6
141;2012;33.2
141;2013;33.2
141;2014;31.5
141;2015;31.0
142;2000;44.1
142;2001;43.4
142;2002;43.3
142;2003;43.1
142;2004;42.3
142;2005;41.0
142;2006;40.5
142;2007;41.7
142;2008;41.0
142;2009;40.6
142;2010;40.9
142;2011;41.6
142;2012;41.6
142;2013;40.6
142;2014;39.5
142;2015;39.0
151;2000;41.3
151;2001;42.6
151;2002;41.7
151;2003;40.9
151;2004;41.0
151;2005;41.1
151;2006;40.9
151;2007;42.5
151;2008;42.2
151;2009;41.9
151;2010;41.4
151;2011;40.7
151;2012;40.5
151;2013;40.2
151;2014;38.3
151;2015;39.2
152;2000;58.7
152;2001;58.8
152;2002;58.9
152;2003;58.0
152;2004;57.3
152;2005;56.2
152;2006;56.8
152;2007;56.3
152;2008;56.6
152;2009;56.5
152;2010;57.0
152;2011;56.7
152;2012;55.3
152;2013;54.7
152;2014;52.9
152;2015;52.2
153;2000;43.3
153;2001;43.3
153;2002;43.6
153;2003;43.7
153;2004;44.6
153;2005;46.0
153;2006;46.0
153;2007;45.7
153;2008;45.2
153;2009;44.6
153;2010;44.9
153;2011;45.0
153;2012;44.6
153;2013;44.2
153;2014;44.3
153;2015;44.5
161;2000;22.1
161;2001;22.1
161;2002;21.6
161;2003;21.8
161;2004;21.4
161;2005;21.7
161;2006;21.7
161;2007;22.5
161;2008;22.7
161;2009;23.0
161;2010;23.2
161;2011;22.7
161;2012;23.7
161;2013;22.9
161;2014;23.2
161;2015;23.5
162;2000;6.2
162;2001;6.2
162;2002;7.4
162;2003;12.2
162;2004;12.7
162;2005;9.7
162;2006;16.9
162;2007;22.6
162;2008;22.4
162;2009;22.7
162;2010;21.7
162;2011;19.0
162;2012;16.2
162;2013;17.6
162;2014;19.1
162;2015;19.7
171;2000;29.6
171;2001;29.4
171;2002;29.5
171;2003;29.2
171;2004;26.1
171;2005;26.2
171;2006;25.8
171;2007;25.7
171;2008;24.8
171;2009;24.4
171;2010;24.2
171;2011;23.7
171;2012;24.5
171;2013;24.3
171;2014;23.3
171;2015;24.5
172;2000;22.5
172;2001;22.8
172;2002;22.6
172;2003;23.0
172;2004;22.4
172;2005;22.7
172;2006;23.3
172;2007;23.7
172;2008;24.4
172;2009;24.6
172;2010;24.8
172;2011;25.2
172;2012;24.7
172;2013;25.0
172;2014;25.2
172;2015;25.4
173;2000;18.2
173;2001;18.9
173;2002;18.8
173;2003;19.4
173;2004;19.2
173;2005;19.7
173;2006;18.7
173;2007;20.0
173;2008;19.6
173;2009;20.5
173;2010;20.9
173;2011;20.5
173;2012;20.0
173;2013;20.2
173;2014;20.0
173;2015;19.8
174;2000;18.0
174;2001;17.9
174;2002;17.8
174;2003;18.0
174;2004;18.5
174;2005;18.8
174;2006;18.8
174;2007;19.7
174;2008;20.4
174;2009;20.3
174;2010;20.8
174;2011;20.8
174;2012;21.0
174;2013;20.5
174;2014;20.1
174;2015;20.3
180;2000;20.6
180;2001;20.6
180;2002;20.4
180;2003;20.6
180;2004;20.9
180;2005;20.8
180;2006;21.6
180;2007;23.0
180;2008;24.3
180;2009;23.9
180;2010;23.7
180;2011;23.9
180;2012;23.5
180;2013;23.9
180;2014;23.9
180;2015;23.8
190;2000;24.2
190;2001;23.7
190;2002;23.6
190;2003;23.9
190;2004;24.2
190;2005;24.3
190;2006;23.7
190;2007;26.0
190;2008;28.2
190;2009;27.3
190;2010;28.4
190;2011;28.0
190;2012;27.6
190;2013;27.8
190;2014;28.5
190;2015;28.3
201;2000;48.2
201;2001;47.9
201;2002;48.0
201;2003;47.1
201;2004;46.4
201;2005;45.9
201;2006;46.0
201;2007;45.7
201;2008;44.8
201;2009;44.4
201;2010;42.9
201;2011;42.0
201;2012;42.4
201;2013;43.2
201;2014;42.9
201;2015;43.0
202;2000;42.2
202;2001;40.7
202;2002;40.5
202;2003;40.5
202;2004;40.4
202;2005;39.9
202;2006;39.2
202;2007;39.7
202;2008;40.2
202;2009;39.9
202;2010;40.3
202;2011;39.3
202;2012;39.0
202;2013;37.3
202;2014;36.2
202;2015;36.1
203;2000;54.2
203;2001;55.1
203;2002;52.8
203;2003;52.8
203;2004;53.2
203;2005;52.5
203;2006;51.9
203;2007;50.2
203;2008;49.4
