wbe;jahr;evangelischreformiert
054;2005;32.7
054;2006;30.5
054;2007;28.9
054;2008;28.6
054;2009;27.7
054;2010;26.2
054;2011;25.7
054;2012;24.6
054;2013;24.3
054;2014;24.5
054;2015;24.1
055;2000;24.3
055;2001;23.1
055;2002;24.9
055;2003;23.9
055;2004;23.1
055;2005;23.5
055;2006;23.5
055;2007;23.4
055;2008;20.8
055;2009;19.9
055;2010;18.1
055;2011;16.4
055;2012;15.8
055;2013;14.3
055;2014;15.9
055;2015;17.0
061;2000;17.9
061;2001;16.6
061;2002;16.0
061;2003;15.6
061;2004;15.4
061;2005;15.1
061;2006;14.5
061;2007;14.9
061;2008;14.5
061;2009;13.4
061;2010;12.8
061;2011;12.7
061;2012;12.2
061;2013;12.3
061;2014;12.1
061;2015;11.7
062;2000;15.1
062;2001;15.0
062;2002;14.5
062;2003;14.1
062;2004;13.6
062;2005;13.6
062;2006;13.4
062;2007;13.2
062;2008;12.5
062;2009;12.6
062;2010;11.9
062;2011;11.8
062;2012;11.0
062;2013;10.9
062;2014;10.5
062;2015;10.1
063;2000;19.6
063;2001;18.9
063;2002;18.5
063;2003;17.2
063;2004;16.9
063;2005;17.3
063;2006;17.4
063;2007;17.1
063;2008;17.1
063;2009;16.5
063;2010;15.8
063;2011;14.9
063;2012;14.9
063;2013;14.3
063;2014;13.3
063;2015;13.1
071;2000;33.0
071;2001;32.8
071;2002;31.8
071;2003;30.8
071;2004;29.6
071;2005;28.8
071;2006;28.1
071;2007;27.6
071;2008;27.0
071;2009;25.8
071;2010;25.4
071;2011;24.1
071;2012;23.8
071;2013;23.2
071;2014;22.3
071;2015;22.3
072;2000;34.4
072;2001;33.9
072;2002;33.0
072;2003;32.9
072;2004;32.2
072;2005;31.8
072;2006;31.5
072;2007;30.3
072;2008;29.8
072;2009;29.9
072;2010;28.8
072;2011;27.8
072;2012;27.5
072;2013;26.2
072;2014;24.9
072;2015;24.0
073;2000;37.8
073;2001;36.2
073;2002;33.2
073;2003;30.5
073;2004;31.1
073;2005;28.6
073;2006;29.7
073;2007;29.9
073;2008;31.1
073;2009;29.6
073;2010;26.2
073;2011;23.0
073;2012;19.9
073;2013;19.6
073;2014;20.2
073;2015;20.7
081;2000;24.7
081;2001;24.5
081;2002;23.3
081;2003;22.8
081;2004;22.8
081;2005;22.4
081;2006;22.9
081;2007;22.2
081;2008;22.0
081;2009;20.8
081;2010;21.4
081;2011;21.6
081;2012;20.5
081;2013;19.8
081;2014;20.3
081;2015;19.0
082;2000;31.1
082;2001;30.2
082;2002;28.8
082;2003;27.8
082;2004;27.4
082;2005;28.0
082;2006;26.9
082;2007;25.5
082;2008;25.2
082;2009;24.6
082;2010;23.4
082;2011;23.2
082;2012;23.3
082;2013;23.0
082;2014;21.6
082;2015;21.2
083;2000;26.6
083;2001;26.6
083;2002;26.8
083;2003;26.1
083;2004;25.6
083;2005;24.7
083;2006;23.8
083;2007;23.3
083;2008;21.7
083;2009;20.8
083;2010;20.3
083;2011;20.7
083;2012;19.5
083;2013;19.0
083;2014;19.4
083;2015;18.0
084;2000;33.7
084;2001;33.1
084;2002;32.2
084;2003;32.5
084;2004;31.6
084;2005;31.0
084;2006;29.9
084;2007;29.4
084;2008;27.9
084;2009;28.5
084;2010;27.1
084;2011;25.7
084;2012;25.8
084;2013;25.2
084;2014;24.0
084;2015;23.6
085;2000;32.8
085;2001;31.8
085;2002;31.0
085;2003;31.0
085;2004;30.1
085;2005;29.8
085;2006;29.0
085;2007;27.9
085;2008;27.6
085;2009;26.5
085;2010;25.7
085;2011;25.0
085;2012;24.7
085;2013;23.9
085;2014;23.3
085;2015;22.9
091;2000;23.5
091;2001;23.2
091;2002;22.5
091;2003;21.5
091;2004;21.2
091;2005;21.5
091;2006;20.4
091;2007;20.1
091;2008;19.2
091;2009;18.2
091;2010;16.8
091;2011;16.8
091;2012;16.6
091;2013;16.2
091;2014;16.0
091;2015;16.3
092;2000;30.6
092;2001;28.9
092;2002;28.1
092;2003;27.8
092;2004;28.4
092;2005;28.4
092;2006;26.8
092;2007;26.1
092;2008;24.8
092;2009;24.3
092;2010;24.5
092;2011;24.3
092;2012;22.5
092;2013;21.4
092;2014;20.5
092;2015;19.3
101;2000;19.1
101;2001;18.9
101;2002;18.3
101;2003;17.8
101;2004;17.7
101;2005;17.1
101;2006;16.7
101;2007;16.1
101;2008;15.7
101;2009;14.8
101;2010;14.5
101;2011;14.1
101;2012;14.3
101;2013;13.4
101;2014;13.3
101;2015;12.6
102;2000;24.0
102;2001;22.5
102;2002;21.7
