wbe;jahr;anteil_ch
054;2005;86.3
054;2006;84.4
054;2007;83.2
054;2008;83.8
054;2009;82.9
054;2010;80.8
054;2011;80.2
054;2012;79.6
054;2013;79.1
054;2014;79.2
054;2015;79.3
055;2000;74.8
055;2001;74.1
055;2002;78.5
055;2003;78.2
055;2004;78.4
055;2005;76.6
055;2006;77.2
055;2007;78.7
055;2008;77.5
055;2009;75.7
055;2010;75.9
055;2011;75.1
055;2012;74.6
055;2013;72.8
055;2014;73.8
055;2015;76.3
061;2000;62.6
061;2001;62.6
061;2002;61.1
061;2003;60.6
061;2004;61.4
061;2005;61.4
061;2006;60.0
061;2007;61.0
061;2008;62.6
061;2009;62.0
061;2010;62.0
061;2011;61.5
061;2012;62.7
061;2013;62.6
061;2014;62.8
061;2015;61.6
062;2000;58.8
062;2001;58.3
062;2002;57.8
062;2003;57.7
062;2004;56.5
062;2005;56.5
062;2006;56.8
062;2007;57.8
062;2008;58.0
062;2009;57.9
062;2010;58.9
062;2011;58.4
062;2012;57.2
062;2013;57.0
062;2014;57.5
062;2015;57.3
063;2000;66.5
063;2001;65.7
063;2002;65.3
063;2003;65.3
063;2004;64.5
063;2005;65.6
063;2006;65.5
063;2007;64.7
063;2008;64.3
063;2009;63.7
063;2010;64.5
063;2011;64.2
063;2012;64.4
063;2013;63.9
063;2014;63.2
063;2015;63.3
071;2000;86.9
071;2001;86.8
071;2002;86.1
071;2003;85.0
071;2004;84.2
071;2005;82.7
071;2006;82.2
071;2007;80.6
071;2008;79.4
071;2009;77.8
071;2010;77.4
071;2011;76.2
071;2012;75.2
071;2013;74.5
071;2014;74.6
071;2015;74.2
072;2000;88.7
072;2001;87.7
072;2002;86.7
072;2003;86.7
072;2004;85.8
072;2005;85.3
072;2006;84.7
072;2007;84.2
072;2008;84.4
072;2009;84.3
072;2010;84.1
072;2011;83.3
072;2012;82.8
072;2013;82.1
072;2014;81.2
072;2015;81.3
073;2000;92.7
073;2001;89.3
073;2002;86.6
073;2003;84.6
073;2004;83.8
073;2005;82.4
073;2006;84.3
073;2007;85.3
073;2008;88.1
073;2009;81.8
073;2010;76.0
073;2011;73.4
073;2012;71.9
073;2013;73.0
073;2014;74.0
073;2015;76.8
081;2000;82.8
081;2001;82.7
081;2002;81.6
081;2003;81.5
081;2004;80.1
081;2005;78.9
081;2006;77.9
081;2007;77.5
081;2008;77.2
081;2009;76.7
081;2010;75.9
081;2011;75.5
081;2012;74.5
081;2013;73.1
081;2014;74.4
081;2015;73.6
082;2000;90.0
082;2001;87.9
082;2002;87.5
082;2003;87.0
082;2004;86.3
082;2005;86.8
082;2006;85.2
082;2007;84.3
082;2008;84.9
082;2009;83.7
082;2010;83.1
082;2011;81.7
082;2012;81.5
082;2013;81.2
082;2014;80.6
082;2015;80.0
083;2000;81.0
083;2001;80.2
083;2002;80.0
083;2003;80.4
083;2004;79.5
083;2005;79.3
083;2006;78.4
083;2007;78.3
083;2008;77.9
083;2009;75.9
083;2010;75.1
083;2011;74.9
083;2012;74.6
083;2013;74.5
083;2014;74.5
083;2015;74.7
084;2000;90.0
084;2001;88.6
084;2002;87.9
084;2003;87.8
084;2004;86.5
084;2005;85.0
084;2006;84.5
084;2007;82.6
084;2008;81.7
084;2009;81.7
084;2010;81.4
084;2011;80.8
084;2012;81.3
084;2013;79.8
084;2014;78.2
