wbe;jahr;area
084;2005;32
084;2006;32
084;2007;32
084;2008;32
084;2009;32
084;2010;32
084;2011;32
084;2012;32
084;2013;32
084;2014;32
085;2000;48
085;2001;48
085;2002;48
085;2003;48
085;2004;48
085;2005;48
085;2006;48
085;2007;48
085;2008;48
085;2009;48
085;2010;48
085;2011;48
085;2012;48
085;2013;48
085;2014;48
091;2000;25
091;2001;25
091;2002;25
091;2003;25
091;2004;25
091;2005;25
091;2006;25
091;2007;25
091;2008;25
091;2009;25
091;2010;25
091;2011;25
091;2012;25
091;2013;25
091;2014;25
092;2000;24
092;2001;24
092;2002;24
092;2003;24
092;2004;24
092;2005;24
092;2006;24
092;2007;24
092;2008;24
092;2009;24
092;2010;24
092;2011;24
092;2012;24
092;2013;24
092;2014;24
101;2000;30
101;2001;30
101;2002;30
101;2003;30
101;2004;30
101;2005;30
101;2006;30
101;2007;30
101;2008;30
101;2009;30
101;2010;30
101;2011;30
101;2012;30
101;2013;30
101;2014;30
102;2000;29
102;2001;29
102;2002;29
102;2003;29
102;2004;29
102;2005;29
102;2006;29
102;2007;29
102;2008;29
102;2009;29
102;2010;29
102;2011;29
102;2012;29
102;2013;29
102;2014;29
103;2000;51
103;2001;51
103;2002;51
103;2003;51
103;2004;51
103;2005;51
103;2006;51
103;2007;51
103;2008;51
103;2009;51
103;2010;51
103;2011;51
103;2012;51
103;2013;51
103;2014;51
111;2000;19
111;2001;19
111;2002;19
111;2003;19
111;2004;19
111;2005;19
111;2006;19
111;2007;19
111;2008;19
111;2009;19
111;2010;19
111;2011;19
111;2012;19
111;2013;19
111;2014;19
112;2000;10
112;2001;10
112;2002;10
112;2003;10
112;2004;10
112;2005;10
112;2006;10
112;2007;10
112;2008;10
112;2009;10
112;2010;10
112;2011;10
112;2012;10
112;2013;10
112;2014;10
113;2000;24
113;2001;24
113;2002;24
113;2003;24
113;2004;24
113;2005;24
113;2006;24
113;2007;24
113;2008;24
113;2009;24
113;2010;24
113;2011;24
113;2012;24
113;2013;24
113;2014;24
114;2000;73
114;2001;73
114;2002;73
114;2003;73
114;2004;73
114;2005;73
114;2006;73
114;2007;73
114;2008;73
114;2009;73
114;2010;73
114;2011;73
114;2012;73
114;2013;73
114;2014;73
115;2000;100
115;2001;100
115;2002;100
115;2003;100
115;2004;100
115;2005;100
115;2006;100
115;2007;100
115;2008;100
115;2009;100
115;2010;100
115;2011;100
115;2012;100
115;2013;100
115;2014;100
121;2000;15
121;2001;15
121;2002;15
121;2003;15
121;2004;15
121;2005;15
121;2006;15
121;2007;15
121;2008;15
121;2009;15
121;2010;15
121;2011;15
121;2012;15
121;2013;15
121;2014;15
122;2000;10
122;2001;10
122;2002;10
122;2003;10
122;2004;10
122;2005;10
122;2006;10
122;2007;10
122;2008;10
122;2009;10
122;2010;10
122;2011;10
122;2012;10
122;2013;10
122;2014;10
131;2000;8
131;2001;8
131;2002;8
131;2003;8
131;2004;8
131;2005;8
131;2006;8
131;2007;8
131;2008;8
131;2009;8
131;2010;8
131;2011;8
131;2012;8
131;2013;8
131;2014;8
132;2000;15
132;2001;15
132;2002;15
132;2003;15
132;2004;15
132;2005;15
132;2006;15
132;2007;15
132;2008;15
132;2009;15
132;2010;15
132;2011;15
132;2012;15
132;2013;15
132;2014;15
141;2000;27
141;2001;27
141;2002;27
141;2003;27
141;2004;27
141;2005;27
141;2006;27
141;2007;27
141;2008;27
141;2009;27
141;2010;27
141;2011;27
141;2012;27
141;2013;27
141;2014;27
142;2000;49
142;2001;49
142;2002;49
142;2003;49
142;2004;49
142;2005;49
142;2006;49
142;2007;49
142;2008;49
142;2009;49
142;2010;49
142;2011;49
142;2012;49
142;2013;49
142;2014;49
151;2000;154
151;2001;154
151;2002;154
151;2003;154
151;2004;154
151;2005;154
151;2006;154
151;2007;154
151;2008;154
151;2009;154
151;2010;154
151;2011;154
151;2012;154
151;2013;154
151;2014;154
152;2000;57
152;2001;57
152;2002;57
152;2003;57
152;2004;57
152;2005;57
152;2006;57
152;2007;57
152;2008;57
152;2009;57
152;2010;57
152;2011;57
152;2012;57
152;2013;57
152;2014;57
153;2000;98
153;2001;98
153;2002;98
153;2003;98
153;2004;98
153;2005;98
153;2006;98
153;2007;98
153;2008;98
153;2009;98
153;2010;98
153;2011;98
153;2012;98
153;2013;98
153;2014;98
161;2009;37
161;2010;37
161;2011;37
161;2012;37
161;2013;37
161;2014;37
162;2009;26
162;2010;26
162;2011;26
162;2012;26
162;2013;26
162;2014;26
171;2000;8
171;2001;8
171;2002;8
171;2003;8
171;2004;8
171;2005;8
171;2006;8
171;2007;8
171;2008;8
171;2009;8
171;2010;8
171;2011;8
171;2012;8
171;2013;8
171;2014;8
172;2000;18
172;2001;18
172;2002;18
172;2003;18
172;2004;18
172;2005;18
172;2006;18
172;2007;18
172;2008;18
172;2009;18
172;2010;18
172;2011;18
172;2012;18
172;2013;18
172;2014;18
173;2000;9
173;2001;9
173;2002;9
173;2003;9
173;2004;9
173;2005;9
173;2006;9
173;2007;9
173;2008;9
173;2009;9
173;2010;9
173;2011;9
173;2012;9
173;2013;9
173;2014;9
174;2000;25
174;2001;25
174;2002;25
174;2003;25
174;2004;25
174;2005;25
174;2006;25
174;2007;25
174;2008;25
174;2009;25
174;2010;25
174;2011;25
174;2012;25
174;2013;25
174;2014;25
180;2000;91
180;2001;91
180;2002;91
180;2003;91
180;2004;91
180;2005;91
180;2006;91
180;2007;91
180;2008;91
180;2009;91
180;2010;91
180;2011;91
180;2012;91
180;2013;91
180;2014;91
190;2000;135
190;2001;135
190;2002;135
190;2003;135
190;2004;135
190;2005;135
190;2006;135
190;2007;135
190;2008;135
190;2009;135
190;2010;135
190;2011;135
190;2012;135
190;2013;135
190;2014;135
201;2000;121
201;2001;121
201;2002;121
201;2003;121
201;2004;121
201;2005;121
201;2006;121
201;2007;121
201;2008;121
201;2009;121
201;2010;121
201;2011;121
201;2012;121
201;2013;121
201;2014;121
202;2000;93
202;2001;93
202;2002;93
202;2003;93
202;2004;93
202;2005;93
202;2006;93
202;2007;93
202;2008;93
202;2009;93
202;2010;93
202;2011;93
202;2012;93
202;2013;93
202;2014;93
203;2000;128
203;2001;128
203;2002;128
203;2003;128
203;2004;128
203;2005;128
203;2006;128
203;2007;128
203;2008;128
203;2009;128
203;2010;128
203;2011;128
203;2012;128
203;2013;128
203;2014;128
204;2000;186
204;2001;186
204;2002;186
204;2003;186
204;2004;186
204;2005;186
204;2006;186
204;2007;186
204;2008;186
204;2009;186
204;2010;186
204;2011;186
204;2012;186
204;2013;186
204;2014;186
205;2000;179
205;2001;179
205;2002;179
205;2003;179
205;2004;179
205;2005;179
205;2006;179
205;2007;179
205;2008;179
205;2009;179
205;2010;179
205;2011;179
205;2012;179
205;2013;179
205;2014;179
206;2000;92
206;2001;92
206;2002;92
206;2003;92
206;2004;92
206;2005;92
206;2006;92
206;2007;92
206;2008;92
206;2009;92
206;2010;92
206;2011;92
206;2012;92
206;2013;92
206;2014;92
207;2000;162
207;2001;162
207;2002;162
207;2003;162
207;2004;162
207;2005;162
207;2006;162
207;2007;162
207;2008;162
207;2009;162
207;2010;162
207;2011;162
207;2012;162
207;2013;162
207;2014;162
208;2000;126
208;2001;126
208;2002;126
208;2003;126
208;2004;126
208;2005;126
208;2006;126
208;2007;126
208;2008;126
208;2009;126
208;2010;126
208;2011;126
208;2012;126
208;2013;126
208;2014;126
301;2000;138
301;2001;138
301;2002;138
301;2003;138
301;2004;138
301;2005;138
301;2006;138
301;2007;138
301;2008;138
301;2009;138
301;2010;138
301;2011;138
301;2012;138
301;2013;138
301;2014;138
302;2000;85
302;2001;85
302;2002;85
302;2003;85
302;2004;85
302;2005;85
302;2006;85
302;2007;85
302;2008;85
302;2009;85
302;2010;85
302;2011;85
302;2012;85
302;2013;85
302;2014;85
161;2000;37
161;2001;37
161;2002;37
161;2003;37
161;2004;37
161;2005;37
161;2006;37
161;2007;37
161;2008;37
162;2000;26
162;2001;26
162;2002;26
162;2003;26
162;2004;26
162;2005;26
162;2006;26
162;2007;26
162;2008;26
011;2015;11
012;2015;13
013;2015;5
014;2015;8
021;2015;26
022;2015;4
023;2015;12
024;2015;24
025;2015;19
026;2015;4
031;2015;27
032;2015;26
033;2015;32
034;2015;6
041;2015;26
042;2015;42
051;2015;5
052;2015;22
053;2015;91
054;2015;50
055;2015;130
061;2015;57
062;2015;37
063;2015;22
071;2015;92
072;2015;101
073;2015;66
081;2015;34
082;2015;22
083;2015;17
084;2015;32
085;2015;48
091;2015;25
092;2015;24
101;2015;30
102;2015;29
103;2015;51
111;2015;19
112;2015;10
113;2015;24
114;2015;73
115;2015;100
121;2015;15
122;2015;10
131;2015;8
132;2015;15
141;2015;27
142;2015;49
151;2015;154
152;2015;57
153;2015;98
161;2015;37
162;2015;26
171;2015;8
172;2015;18
173;2015;9
174;2015;25
180;2015;91
190;2015;135
201;2015;121
202;2015;93
203;2015;128
204;2015;186
205;2015;179
206;2015;92
207;2015;162
208;2015;126
301;2015;138
302;2015;85
