wbe;jahr;anzahl_l
063;2010;2728
063;2011;2783
063;2012;2849
063;2013;2882
063;2014;2962
063;2015;2962
071;2000;1957
071;2001;1964
071;2002;1923
071;2003;1973
071;2004;2001
071;2005;1971
071;2006;1991
071;2007;2095
071;2008;2126
071;2009;2159
071;2010;2196
071;2011;2221
071;2012;2253
071;2013;2308
071;2014;2316
071;2015;2362
072;2000;1129
072;2001;1134
072;2002;1149
072;2003;1157
072;2004;1169
072;2005;1189
072;2006;1194
072;2007;1189
072;2008;1198
072;2009;1215
072;2010;1258
072;2011;1266
072;2012;1253
072;2013;1273
072;2014;1315
072;2015;1330
073;2000;90
073;2001;99
073;2002;99
073;2003;103
073;2004;100
073;2005;99
073;2006;98
073;2007;92
073;2008;87
073;2009;100
073;2010;111
073;2011;107
073;2012;115
073;2013;120
073;2014;116
073;2015;110
081;2000;968
081;2001;970
081;2002;988
081;2003;991
081;2004;965
081;2005;970
081;2006;950
081;2007;955
081;2008;970
081;2009;987
081;2010;994
081;2011;1007
081;2012;1015
081;2013;1056
081;2014;1041
081;2015;1047
082;2000;676
082;2001;698
082;2002;703
082;2003;704
082;2004;715
082;2005;700
082;2006;732
082;2007;757
082;2008;767
082;2009;779
082;2010;761
082;2011;787
082;2012;781
082;2013;802
082;2014;829
082;2015;862
083;2000;804
083;2001;794
083;2002;809
083;2003;826
083;2004;880
083;2005;898
083;2006;904
083;2007;881
083;2008;903
083;2009;944
083;2010;938
083;2011;929
083;2012;968
083;2013;1013
083;2014;1034
083;2015;1030
084;2000;691
084;2001;678
084;2002;705
084;2003;702
084;2004;708
084;2005;709
084;2006;720
084;2007;734
084;2008;729
084;2009;740
084;2010;738
084;2011;750
084;2012;752
084;2013;758
084;2014;807
084;2015;792
085;2000;2124
085;2001;2130
085;2002;2120
085;2003;2108
085;2004;2160
085;2005;2164
085;2006;2197
085;2007;2256
085;2008;2252
085;2009;2294
085;2010;2246
085;2011;2296
085;2012;2362
085;2013;2352
085;2014;2385
085;2015;2429
091;2000;2254
091;2001;2261
091;2002;2296
091;2003;2334
091;2004;2372
091;2005;2390
091;2006;2374
091;2007;2408
091;2008;2475
091;2009;2515
091;2010;2505
091;2011;2513
091;2012;2509
091;2013;2508
091;2014;2526
091;2015;2566
092;2000;635
092;2001;623
092;2002;616
092;2003;639
092;2004;642
092;2005;679
092;2006;696
092;2007;703
092;2008;698
092;2009;695
092;2010;707
092;2011;736
092;2012;750
092;2013;754
092;2014;782
092;2015;784
101;2000;2890
101;2001;2887
101;2002;2948
101;2003;3020
101;2004;3045
101;2005;2934
101;2006;2985
101;2007;3056
101;2008;3104
101;2009;3125
101;2010;3212
101;2011;3240
101;2012;3252
101;2013;3319
101;2014;3414
101;2015;3421
102;2000;1832
102;2001;1878
102;2002;1887
102;2003;1943
102;2004;1959
102;2005;1900
102;2006;1892
102;2007;1908
102;2008;1970
102;2009;2050
102;2010;2070
102;2011;2146
102;2012;2246
102;2013;2281
102;2014;2304
102;2015;2368
103;2000;1947
103;2001;2041
103;2002;2049
103;2003;2075
103;2004;2041
103;2005;2043
103;2006;2045
103;2007;2106
103;2008;2156
103;2009;2166
103;2010;2284
103;2011;2340
103;2012;2363
103;2013;2422
103;2014;2451
103;2015;2565
111;2000;1798
111;2001;1824
111;2002;1890
111;2003;1924
111;2004;1928
111;2005;1895
111;2006;1929
111;2007;1982
111;2008;2025
111;2009;1991
111;2010;2038
111;2011;2008
111;2012;2023
111;2013;2087
111;2014;2088
111;2015;2040
112;2000;870
112;2001;863
112;2002;872
112;2003;842
112;2004;875
112;2005;885
112;2006;891
112;2007;910
112;2008;939
112;2009;955
112;2010;972
112;2011;973
112;2012;981
112;2013;986
112;2014;995
112;2015;982
113;2000;3180
113;2001;3228
113;2002;3348
113;2003;3325
113;2004;3351
113;2005;3383
113;2006;3426
113;2007;3388
113;2008;3456
113;2009;3497
113;2010;3539
113;2011;3611
113;2012;3624
113;2013;3684
113;2014;3696
113;2015;3699
114;2000;802
114;2001;787
114;2002;805
114;2003;787
114;2004;793
114;2005;755
114;2006;719
114;2007;732
114;2008;745
114;2009;821
114;2010;946
114;2011;1029
114;2012;1085
114;2013;1070
114;2014;1067
114;2015;1065
115;2000;1523
115;2001;1525
115;2002;1499
115;2003;1486
115;2004;1502
115;2005;1484
115;2006;1501
115;2007;1461
115;2008;1504
115;2009;1553
115;2010;1553
115;2011;1579
115;2012;1614
115;2013;1633
115;2014;1677
115;2015;1680
121;2000;718
121;2001;740
121;2002;736
121;2003;722
121;2004;720
121;2005;702
121;2006;705
121;2007;694
121;2008;721
121;2009;752
121;2010;741
121;2011;755
121;2012;774
121;2013;815
121;2014;822
121;2015;834
122;2000;318
122;2001;322
122;2002;331
122;2003;323
122;2004;342
122;2005;344
122;2006;353
122;2007;343
122;2008;364
122;2009;375
122;2010;389
122;2011;407
122;2012;400
122;2013;445
122;2014;494
122;2015;508
131;2000;385
131;2001;377
131;2002;389
131;2003;397
131;2004;391
131;2005;384
131;2006;373
131;2007;406
131;2008;424
131;2009;437
131;2010;415
131;2011;426
131;2012;426
131;2013;444
131;2014;452
131;2015;496
132;2000;1193
132;2001;1178
132;2002;1190
132;2003;1196
132;2004;1236
132;2005;1239
132;2006;1243
132;2007;1303
132;2008;1366
132;2009;1352
132;2010;1352
132;2011;1354
132;2012;1364
132;2013;1381
132;2014;1395
132;2015;1361
141;2000;1341
141;2001;1335
141;2002;1404
141;2003;1466
141;2004;1488
141;2005;1504
141;2006;1579
141;2007;1618
141;2008;1632
141;2009;1652
141;2010;1633
141;2011;1616
141;2012;1620
141;2013;1613
141;2014;1695
141;2015;1712
142;2000;876
142;2001;884
142;2002;936
142;2003;937
142;2004;969
142;2005;1008
142;2006;1015
142;2007;998
142;2008;1036
142;2009;1084
142;2010;1055
142;2011;1071
142;2012;1059
142;2013;1104
142;2014;1135
142;2015;1134
151;2000;961
151;2001;945
151;2002;986
151;2003;997
151;2004;955
151;2005;981
151;2006;1005
151;2007;996
151;2008;987
151;2009;1027
151;2010;1024
151;2011;1102
151;2012;1112
151;2013;1162
151;2014;1226
151;2015;1276
152;2000;994
152;2001;965
152;2002;965
152;2003;944
152;2004;960
152;2005;958
152;2006;948
152;2007;954
152;2008;956
152;2009;948
152;2010;961
152;2011;990
152;2012;991
152;2013;993
152;2014;1023
152;2015;1017
153;2000;1219
153;2001;1246
153;2002;1209
153;2003;1205
153;2004;1177
153;2005;1130
153;2006;1095
153;2007;1072
153;2008;1188
153;2009;1246
153;2010;1279
153;2011;1291
153;2012;1297
153;2013;1339
153;2014;1367
153;2015;1423
161;2000;1794
161;2001;1855
161;2002;1937
161;2003;1981
161;2004;2045
161;2005;2046
161;2006;2146
161;2007;2181
161;2008;2227
161;2009;2260
161;2010;2236
161;2011;2200
161;2012;2274
161;2013;2363
161;2014;2435
161;2015;2469
162;2000;48
162;2001;69
162;2002;77
162;2003;85
162;2004;69
162;2005;69
162;2006;74
162;2007;83
162;2008;93
162;2009;232
162;2010;291
162;2011;337
162;2012;330
162;2013;326
162;2014;328
162;2015;806
171;2000;643
171;2001;640
171;2002;651
171;2003;675
171;2004;702
171;2005;695
171;2006;715
171;2007;693
171;2008;719
171;2009;739
171;2010;718
171;2011;724
171;2012;765
171;2013;773
171;2014;808
171;2015;818
172;2000;1712
172;2001;1633
172;2002;1661
172;2003;1709
172;2004;1785
172;2005;1757
172;2006;1719
172;2007;1769
172;2008;1833
172;2009;1836
172;2010;1815
172;2011;1877
172;2012;1903
172;2013;1947
172;2014;1961
172;2015;2007
173;2000;1426
173;2001;1421
173;2002;1521
173;2003;1554
173;2004;1573
173;2005;1544
173;2006;1551
173;2007;1600
173;2008;1624
173;2009;1617
173;2010;1595
173;2011;1635
173;2012;1638
173;2013;1675
173;2014;1675
173;2015;1700
174;2000;3307
174;2001;3392
174;2002;3492
174;2003;3528
174;2004;3575
174;2005;3629
174;2006;3705
174;2007;3740
174;2008;3799
174;2009;3748
174;2010;3768
174;2011;3879
174;2012;3919
174;2013;4046
174;2014;4094
174;2015;4041
180;2000;2952
180;2001;2934
180;2002;2981
180;2003;2990
180;2004;2974
180;2005;3001
180;2006;3071
180;2007;3082
180;2008;3199
180;2009;3287
180;2010;3286
180;2011;3354
180;2012;3378
180;2013;3416
180;2014;3452
180;2015;3455
190;2003;981
190;2004;981
190;2000;885
190;2001;872
190;2002;933
190;2005;1025
190;2006;1036
190;2007;1037
190;2008;1043
190;2009;1101
190;2010;1069
190;2011;1092
190;2012;1195
190;2013;1214
190;2014;1204
190;2015;1249
201;2000;1257
201;2001;1312
201;2002;1345
201;2003;1381
201;2004;1345
201;2005;1320
201;2006;1330
201;2007;1297
201;2008;1314
201;2009;1327
201;2010;1368
201;2011;1371
201;2012;1353
201;2013;1318
201;2014;1300
201;2015;1303
202;2000;859
202;2001;879
202;2002;843
202;2003;846
202;2004;817
202;2005;824
202;2006;869
202;2007;851
202;2008;857
202;2009;867
202;2010;878
202;2011;881
202;2012;871
202;2013;895
202;2014;934
202;2015;941
203;2000;386
203;2001;366
203;2002;366
203;2003;374
203;2004;389
203;2005;373
203;2006;384
203;2007;391
203;2008;389
203;2009;390
203;2010;412
203;2011;422
203;2012;447
203;2013;453
203;2014;443
203;2015;449
204;2000;372
204;2001;394
