wbe;jahr;alter65
011;2000;40
011;2001;46
011;2002;45
011;2003;49
011;2004;52
011;2005;53
011;2006;55
011;2007;60
011;2008;65
011;2009;68
011;2010;74
011;2011;79
011;2012;78
011;2013;73
011;2014;77
011;2015;77
012;2000;55
012;2001;58
012;2002;56
012;2003;56
012;2004;57
012;2005;53
012;2006;53
012;2007;55
012;2008;56
012;2009;57
012;2010;55
012;2011;68
012;2012;74
012;2013;77
012;2014;70
012;2015;69
013;2000;57
013;2001;54
013;2002;52
013;2003;53
013;2004;55
013;2005;64
013;2006;69
013;2007;78
013;2008;74
013;2009;78
013;2010;81
013;2011;77
013;2012;83
013;2013;85
013;2014;87
013;2015;93
014;2000;164
014;2001;166
014;2002;165
014;2003;167
014;2004;165
014;2005;168
014;2006;179
014;2007;187
014;2008;178
014;2009;188
014;2010;191
014;2011;187
014;2012;193
014;2013;195
014;2014;206
014;2015;206
021;2000;333
021;2001;328
021;2002;286
021;2003;273
021;2004;281
021;2005;290
021;2006;279
021;2007;288
021;2008;275
021;2009;270
021;2010;275
021;2011;285
021;2012;273
021;2013;275
021;2014;266
021;2015;267
022;2000;124
022;2001;119
022;2002;117
022;2003;108
022;2004;104
022;2005;102
022;2006;102
022;2007;100
022;2008;100
022;2009;101
022;2010;97
022;2011;98
022;2012;103
022;2013;96
022;2014;84
022;2015;88
023;2000;164
023;2001;159
023;2002;148
023;2003;139
023;2004;141
023;2005;142
023;2006;143
023;2007;148
023;2008;165
023;2009;173
023;2010;179
023;2011;178
023;2012;175
023;2013;174
023;2014;165
023;2015;168
024;2000;190
024;2001;196
024;2002;187
024;2003;185
024;2004;189
024;2005;187
024;2006;189
024;2007;189
024;2008;175
024;2009;185
024;2010;190
024;2011;180
024;2012;170
024;2013;173
024;2014;178
024;2015;179
025;2000;403
025;2001;395
025;2002;388
025;2003;390
025;2004;394
025;2005;397
025;2006;426
025;2007;461
025;2008;497
025;2009;479
025;2010;468
025;2011;443
025;2012;435
025;2013;450
025;2014;467
025;2015;471
026;2000;17
026;2001;16
026;2002;19
026;2003;20
026;2004;21
026;2005;21
026;2006;22
026;2007;24
026;2008;28
026;2009;28
026;2010;30
026;2011;28
026;2012;34
026;2013;37
026;2014;38
026;2015;43
031;2000;616
031;2001;605
031;2002;581
031;2003;579
031;2004;602
031;2005;614
031;2006;620
031;2007;629
031;2008;637
031;2009;640
031;2010;640
031;2011;635
031;2012;640
031;2013;668
031;2014;653
031;2015;630
032;2000;820
032;2001;840
032;2002;832
032;2003;783
032;2004;815
032;2005;831
032;2006;842
032;2007;858
032;2008;865
032;2009;877
032;2010;887
032;2011;883
032;2012;879
032;2013;861
032;2014;810
032;2015;818
033;2000;774
033;2001;826
033;2002;870
033;2003;894
033;2004;893
033;2005;885
033;2006;894
033;2007;900
033;2008;900
033;2009;886
033;2010;908
033;2011;926
033;2012;931
033;2013;958
033;2014;940
033;2015;950
034;2000;22
034;2001;23
034;2002;26
034;2003;26
034;2004;28
034;2005;24
034;2006;27
034;2007;27
034;2008;27
034;2009;28
034;2010;33
034;2011;29
034;2012;35
034;2013;38
034;2014;37
034;2015;31
041;2000;773
041;2001;771
041;2002;747
041;2003;748
041;2004;765
041;2005;762
041;2006;766
041;2007;779
041;2008;784
041;2009;796
041;2010;780
041;2011;804
041;2012;798
041;2013;813
041;2014;820
041;2015;816
042;2000;1287
042;2001;1293
042;2002;1293
042;2003;1277
042;2004;1281
042;2005;1261
042;2006;1272
042;2007;1251
042;2008;1238
042;2009;1210
042;2010;1186
042;2011;1169
042;2012;1152
042;2013;1124
042;2014;1100
042;2015;1065
051;2000;2
051;2001;2
051;2002;4
051;2003;3
051;2004;3
051;2005;4
051;2006;4
051;2007;5
051;2008;5
051;2009;5
051;2010;3
051;2011;4
051;2012;4
051;2013;5
051;2014;6
051;2015;6
052;2000;347
052;2001;338
052;2002;336
052;2003;319
052;2004;314
052;2005;290
052;2006;294
052;2007;293
052;2008;291
052;2009;276
052;2010;271
052;2011;263
052;2012;253
052;2013;242
052;2014;236
052;2015;238
053;2000;1648
