wbe;jahr;ant_verwitwet
054;2005;11.6
054;2006;11.6
054;2007;11.3
054;2008;10.7
054;2009;10.7
054;2010;10.5
054;2011;10.7
054;2012;10.5
054;2013;10.7
054;2014;11.7
054;2015;11.8
055;2000;9.4
055;2001;9.4
055;2002;12.7
055;2003;14.3
055;2004;15.2
055;2005;15.2
055;2006;17.0
055;2007;17.1
055;2008;15.0
055;2009;14.8
055;2010;14.9
055;2011;14.5
055;2012;14.6
055;2013;14.2
055;2014;16.2
055;2015;18.1
061;2000;4.8
061;2001;4.7
061;2002;4.6
061;2003;4.3
061;2004;4.2
061;2005;4.1
061;2006;4.0
061;2007;4.1
061;2008;4.1
061;2009;4.0
061;2010;4.0
061;2011;3.9
061;2012;4.3
061;2013;4.6
061;2014;4.6
061;2015;4.5
062;2000;5.0
062;2001;5.0
062;2002;5.1
062;2003;4.9
062;2004;4.6
062;2005;4.4
062;2006;4.3
062;2007;4.3
062;2008;4.1
062;2009;4.1
062;2010;4.1
062;2011;3.9
062;2012;3.6
062;2013;3.5
062;2014;3.5
062;2015;3.4
063;2000;5.1
063;2001;4.9
063;2002;4.7
063;2003;4.5
063;2004;4.4
063;2005;5.1
063;2006;5.1
063;2007;4.9
063;2008;4.7
063;2009;4.5
063;2010;4.5
063;2011;4.2
063;2012;4.0
063;2013;4.0
063;2014;4.0
063;2015;3.9
071;2000;8.5
071;2001;8.5
071;2002;8.5
071;2003;8.2
071;2004;8.0
071;2005;7.8
071;2006;7.7
071;2007;7.6
071;2008;7.7
071;2009;7.2
071;2010;6.9
071;2011;7.0
071;2012;6.8
071;2013;6.6
071;2014;6.4
071;2015;6.2
072;2000;9.5
072;2001;9.3
072;2002;9.6
072;2003;9.2
072;2004;8.9
072;2005;9.0
072;2006;9.0
072;2007;9.0
072;2008;8.6
072;2009;8.8
072;2010;8.7
072;2011;8.3
072;2012;8.2
072;2013;8.1
072;2014;7.6
072;2015;7.6
073;2000;10.3
073;2001;7.0
073;2002;6.1
073;2003;6.1
073;2004;6.6
073;2005;7.6
073;2006;8.5
073;2007;8.7
073;2008;9.1
073;2009;7.5
073;2010;6.8
073;2011;5.8
073;2012;5.8
073;2013;4.7
073;2014;5.1
073;2015;5.4
081;2000;6.4
081;2001;6.3
081;2002;6.1
081;2003;6.1
081;2004;5.9
081;2005;5.8
081;2006;6.2
081;2007;6.1
081;2008;5.9
081;2009;5.7
081;2010;5.3
081;2011;5.6
081;2012;5.3
081;2013;5.1
081;2014;5.2
081;2015;5.1
082;2000;9.1
082;2001;9.1
082;2002;8.8
082;2003;8.4
082;2004;8.3
082;2005;8.9
082;2006;7.9
082;2007;6.9
082;2008;6.8
082;2009;6.8
082;2010;6.9
082;2011;7.0
082;2012;7.0
082;2013;6.6
082;2014;6.1
082;2015;5.6
083;2000;11.4
083;2001;11.3
083;2002;11.2
083;2003;11.1
083;2004;10.9
083;2005;11.0
083;2006;10.9
083;2007;11.2
083;2008;11.0
083;2009;10.9
083;2010;10.8
083;2011;10.5
083;2012;9.6
083;2013;9.1
083;2014;9.4
083;2015;8.8
084;2000;7.6
084;2001;7.4
084;2002;7.5
084;2003;7.3
084;2004;7.2
084;2005;6.9
084;2006;6.7
084;2007;6.3
084;2008;6.5
084;2009;5.6
084;2010;5.5
084;2011;5.8
084;2012;5.7
084;2013;5.3
084;2014;5.3
084;2015;4.8
085;2000;7.9
085;2001;7.8
085;2002;7.7
085;2003;7.6
085;2004;7.5
085;2005;7.5
085;2006;7.2
085;2007;6.8
085;2008;6.7
085;2009;6.6
085;2010;6.4
085;2011;6.2
085;2012;6.0
085;2013;5.7
085;2014;5.6
085;2015;5.4
091;2000;8.1
091;2001;8.0
091;2002;7.9
091;2003;7.4
091;2004;7.2
091;2005;7.1
091;2006;6.9
091;2007;6.9
091;2008;6.7
091;2009;6.9
091;2010;6.6
