wbe;jahr;anzahl_g
071;2013;418
071;2014;411
071;2015;399
072;2000;165
072;2001;166
072;2002;183
072;2003;201
072;2004;198
072;2005;191
072;2006;197
072;2007;207
072;2008;212
072;2009;220
072;2010;219
072;2011;229
072;2012;233
072;2013;238
072;2014;245
072;2015;239
073;2000;11
073;2001;11
073;2002;13
073;2003;13
073;2004;15
073;2005;14
073;2006;12
073;2007;10
073;2008;11
073;2009;13
073;2010;19
073;2011;20
073;2012;21
073;2013;20
073;2014;17
073;2015;20
081;2000;189
081;2001;186
081;2002;183
081;2003;186
081;2004;196
081;2005;203
081;2006;213
081;2007;218
081;2008;226
081;2009;217
081;2010;215
081;2011;219
081;2012;213
081;2013;212
081;2014;211
081;2015;205
082;2000;127
082;2001;137
082;2002;147
082;2003;146
082;2004;146
082;2005;146
082;2006;147
082;2007;152
082;2008;153
082;2009;156
082;2010;161
082;2011;168
082;2012;177
082;2013;180
082;2014;183
082;2015;181
083;2000;149
083;2001;156
083;2002;175
083;2003;177
083;2004;181
083;2005;186
083;2006;198
083;2007;207
083;2008;211
083;2009;204
083;2010;209
083;2011;211
083;2012;218
083;2013;222
083;2014;227
083;2015;237
084;2000;126
084;2001;130
084;2002;125
084;2003;128
084;2004;127
084;2005;123
084;2006;118
084;2007;135
084;2008;134
084;2009;137
084;2010;133
084;2011;133
084;2012;134
084;2013;134
084;2014;137
084;2015;145
085;2000;352
085;2001;348
085;2002;353
085;2003;377
085;2004;393
085;2005;391
085;2006;390
085;2007;417
085;2008;418
085;2009;451
085;2010;471
085;2011;466
085;2012;461
085;2013;474
085;2014;472
085;2015;483
091;2000;424
091;2001;432
091;2002;456
091;2003;450
091;2004;482
091;2005;493
091;2006;497
091;2007;506
091;2008;498
091;2009;518
091;2010;524
091;2011;540
091;2012;564
091;2013;563
091;2014;561
091;2015;545
092;2000;123
092;2001;125
092;2002;130
092;2003;130
092;2004;130
092;2005;128
092;2006;138
092;2007;145
092;2008;146
092;2009;151
092;2010;172
092;2011;166
092;2012;168
092;2013;169
092;2014;173
092;2015;167
101;2000;544
101;2001;518
101;2002;516
101;2003;501
101;2004;527
101;2005;547
101;2006;571
101;2007;562
101;2008;574
101;2009;578
101;2010;633
101;2011;632
101;2012;620
101;2013;620
101;2014;629
101;2015;638
102;2000;379
102;2001;370
102;2002;372
102;2003;363
102;2004;380
102;2005;398
102;2006;410
102;2007;411
102;2008;433
102;2009;436
102;2010;459
102;2011;473
102;2012;488
102;2013;491
102;2014;493
102;2015;518
103;2000;401
103;2001;398
103;2002;393
103;2003;406
103;2004;414
103;2005;415
103;2006;442
103;2007;448
103;2008;455
103;2009;465
103;2010;480
103;2011;467
103;2012;483
103;2013;514
103;2014;521
103;2015;534
111;2000;305
111;2001;302
111;2002;284
111;2003;302
111;2004;305
111;2005;318
111;2006;322
111;2007;334
111;2008;338
111;2009;354
111;2010;359
111;2011;358
111;2012;361
111;2013;370
111;2014;353
111;2015;344
112;2000;160
112;2001;159
112;2002;162
112;2003;158
112;2004;164
112;2005;182
112;2006;181
112;2007;193
112;2008;201
112;2009;200
112;2010;202
112;2011;196
112;2012;193
112;2013;191
112;2014;191
112;2015;190
113;2000;477
113;2001;499
113;2002;518
113;2003;503
113;2004;514
113;2005;501
113;2006;525
113;2007;546
113;2008;562
113;2009;584
113;2010;587
113;2011;606
113;2012;638
113;2013;662
113;2014;680
113;2015;677
114;2000;103
114;2001;108
114;2002;100
114;2003;104
114;2004;105
114;2005;116
114;2006;118
114;2007;114
114;2008;120
114;2009;129
114;2010;162
114;2011;168
114;2012;173
114;2013;179
114;2014;170
114;2015;174
115;2000;259
115;2001;278
115;2002;275
115;2003;284
115;2004;270
115;2005;275
115;2006;277
115;2007;274
115;2008;279
115;2009;281
115;2010;286
115;2011;297
115;2012;303
115;2013;303
115;2014;322
115;2015;304
121;2000;175
121;2001;176
121;2002;182
121;2003;180
121;2004;182
121;2005;195
121;2006;184
121;2007;187
121;2008;175
121;2009;185
121;2010;175
121;2011;172
121;2012;171
121;2013;171
121;2014;177
121;2015;170
122;2000;118
122;2001;125
122;2002;130
122;2003;121
122;2004;112
122;2005;121
122;2006;125
122;2007;131
122;2008;136
122;2009;145
122;2010;142
122;2011;143
122;2012;143
122;2013;137
122;2014;140
122;2015;145
131;2000;83
131;2001;87
131;2002;91
131;2003;89
131;2004;95
131;2005;96
131;2006;103
131;2007;108
131;2008;100
131;2009;101
131;2010;110
131;2011;112
131;2012;110
131;2013;111
131;2014;107
131;2015;110
132;2000;269
132;2001;271
132;2002;281
132;2003;259
132;2004;272
132;2005;275
132;2006;299
132;2007;310
132;2008;325
132;2009;343
132;2010;324
132;2011;319
132;2012;350
132;2013;342
132;2014;358
132;2015;351
141;2000;227
141;2001;229
141;2002;237
141;2003;254
141;2004;253
141;2005;263
141;2006;274
141;2007;266
141;2008;270
141;2009;262
141;2010;266
141;2011;259
141;2012;268
141;2013;280
141;2014;291
141;2015;296
142;2000;192
142;2001;197
142;2002;191
142;2003;198
142;2004;188
142;2005;198
142;2006;203
142;2007;208
142;2008;212
142;2009;221
142;2010;220
142;2011;219
142;2012;225
142;2013;225
142;2014;227
142;2015;235
151;2000;206
151;2001;205
151;2002;207
151;2003;204
151;2004;215
151;2005;224
151;2006;219
151;2007;230
151;2008;230
151;2009;250
151;2010;252
151;2011;250
151;2012;236
151;2013;245
151;2014;239
151;2015;255
152;2000;146
152;2001;159
152;2002;177
152;2003;177
152;2004;193
152;2005;206
152;2006;212
152;2007;219
152;2008;220
152;2009;224
152;2010;238
152;2011;249
152;2012;249
152;2013;260
152;2014;258
152;2015;250
153;2000;237
153;2001;237
153;2002;249
153;2003;251
153;2004;262
153;2005;253
153;2006;249
153;2007;246
153;2008;260
153;2009;276
153;2010;297
153;2011;306
