wbe;jahr;anzahl_christkatholische
072;2011;13
072;2012;14
072;2013;13
072;2014;14
072;2015;12
073;2000;NaN
073;2001;NaN
073;2002;NaN
073;2003;NaN
073;2004;NaN
073;2005;NaN
073;2006;NaN
073;2007;NaN
073;2008;NaN
073;2009;NaN
073;2010;NaN
073;2011;NaN
073;2012;NaN
073;2013;NaN
073;2014;NaN
073;2015;NaN
081;2000;14
081;2001;13
081;2002;13
081;2003;15
081;2004;13
081;2005;10
081;2006;8
081;2007;6
081;2008;7
081;2009;11
081;2010;10
081;2011;13
081;2012;19
081;2013;21
081;2014;13
081;2015;15
082;2000;9
082;2001;8
082;2002;8
082;2003;9
082;2004;9
082;2005;8
082;2006;9
082;2007;10
082;2008;10
082;2009;8
082;2010;12
082;2011;12
082;2012;12
082;2013;12
082;2014;16
082;2015;14
083;2000;16
083;2001;14
083;2002;15
083;2003;17
083;2004;12
083;2005;11
083;2006;11
083;2007;11
083;2008;14
083;2009;12
083;2010;12
083;2011;12
083;2012;12
083;2013;15
083;2014;8
083;2015;7
084;2000;5
084;2001;8
084;2002;9
084;2003;NaN
084;2004;4
084;2005;NaN
084;2006;4
084;2007;4
084;2008;4
084;2009;4
084;2010;4
084;2011;5
084;2012;4
084;2013;5
084;2014;9
084;2015;7
085;2000;17
085;2001;15
085;2002;14
085;2003;17
085;2004;18
085;2005;19
085;2006;18
085;2007;17
085;2008;16
085;2009;19
085;2010;20
085;2011;19
085;2012;19
085;2013;18
085;2014;21
085;2015;17
091;2000;11
091;2001;12
091;2002;16
091;2003;12
091;2004;13
091;2005;10
091;2006;17
091;2007;15
091;2008;14
091;2009;13
091;2010;21
091;2011;28
091;2012;34
091;2013;28
091;2014;33
091;2015;30
092;2000;NaN
092;2001;NaN
092;2002;NaN
092;2003;NaN
092;2004;NaN
092;2005;NaN
092;2006;NaN
092;2007;NaN
092;2008;4
092;2009;4
092;2010;7
092;2011;6
092;2012;5
092;2013;4
092;2014;NaN
092;2015;NaN
101;2000;5
101;2001;5
101;2002;4
101;2003;4
101;2004;5
101;2005;8
101;2006;10
101;2007;12
101;2008;11
101;2009;14
101;2010;17
101;2011;34
101;2012;44
101;2013;35
101;2014;30
101;2015;36
102;2000;11
102;2001;12
102;2002;9
102;2003;9
102;2004;11
