wbe;jahr;ant_ledig
062;2001;46.0
062;2002;46.5
062;2003;46.3
062;2004;46.7
062;2005;46.7
062;2006;47.4
062;2007;48.5
062;2008;49.6
062;2009;50.3
062;2010;50.1
062;2011;50.2
062;2012;50.8
062;2013;51.1
062;2014;52.1
062;2015;52.5
063;2000;48.6
063;2001;48.4
063;2002;49.3
063;2003;49.4
063;2004;48.5
063;2005;48.8
063;2006;49.2
063;2007;50.0
063;2008;50.8
063;2009;51.1
063;2010;51.5
063;2011;52.5
063;2012;53.3
063;2013;53.5
063;2014;54.2
063;2015;54.6
071;2000;36.4
071;2001;36.7
071;2002;36.4
071;2003;37.5
071;2004;38.0
071;2005;38.1
071;2006;38.7
071;2007;39.9
071;2008;40.5
071;2009;40.7
071;2010;41.4
071;2011;41.6
071;2012;41.6
071;2013;42.2
071;2014;42.7
071;2015;43.5
072;2000;33.5
072;2001;33.7
072;2002;34.1
072;2003;34.7
072;2004;35.3
072;2005;36.0
072;2006;36.2
072;2007;36.4
072;2008;36.4
072;2009;36.9
072;2010;38.1
072;2011;37.9
072;2012;38.0
072;2013;38.5
072;2014;39.4
072;2015;39.6
073;2000;38.6
073;2001;40.7
073;2002;40.1
073;2003;41.9
073;2004;41.5
073;2005;41.6
073;2006;41.5
073;2007;39.8
073;2008;39.7
073;2009;39.5
073;2010;39.8
073;2011;39.1
073;2012;39.4
073;2013;40.5
073;2014;39.7
073;2015;39.3
081;2000;43.5
081;2001;44.4
081;2002;44.6
081;2003;45.2
081;2004;44.2
081;2005;44.3
081;2006;43.6
081;2007;43.8
081;2008;44.2
081;2009;45.4
081;2010;45.9
081;2011;45.9
081;2012;46.0
081;2013;47.1
081;2014;47.1
081;2015;47.2
082;2000;35.7
082;2001;37.0
082;2002;37.4
082;2003;37.6
082;2004;38.4
082;2005;38.7
082;2006;40.5
082;2007;41.1
082;2008;41.3
082;2009;41.8
082;2010;41.3
082;2011;42.2
082;2012;42.2
082;2013;43.4
082;2014;44.3
082;2015;45.1
083;2000;35.3
083;2001;35.3
083;2002;35.9
083;2003;36.9
083;2004;38.4
083;2005;39.5
083;2006;40.2
083;2007;39.8
083;2008;39.9
