wbe;jahr;anzahl_al
063;2012;1903
063;2013;1945
063;2014;2008
063;2015;1994
071;2000;703
071;2001;708
071;2002;733
071;2003;791
071;2004;829
071;2005;897
071;2006;914
071;2007;1017
071;2008;1082
071;2009;1175
071;2010;1198
071;2011;1271
071;2012;1343
071;2013;1392
071;2014;1377
071;2015;1401
072;2000;380
072;2001;415
072;2002;447
072;2003;443
072;2004;469
072;2005;486
072;2006;505
072;2007;517
072;2008;512
072;2009;517
072;2010;525
072;2011;558
072;2012;567
072;2013;592
072;2014;629
072;2015;629
073;2000;17
073;2001;26
073;2002;33
073;2003;38
073;2004;39
073;2005;42
073;2006;37
073;2007;34
073;2008;26
073;2009;46
073;2010;67
073;2011;73
073;2012;82
073;2013;80
073;2014;76
073;2015;65
081;2000;383
081;2001;377
081;2002;407
081;2003;405
081;2004;435
081;2005;463
081;2006;481
081;2007;491
081;2008;499
081;2009;507
081;2010;521
081;2011;537
081;2012;563
081;2013;603
081;2014;566
081;2015;586
082;2000;189
082;2001;228
082;2002;235
082;2003;244
082;2004;255
082;2005;239
082;2006;268
082;2007;290
082;2008;280
082;2009;304
082;2010;312
082;2011;342
082;2012;342
082;2013;347
082;2014;364
082;2015;383
083;2000;434
083;2001;445
083;2002;450
083;2003;438
083;2004;471
083;2005;471
083;2006;485
083;2007;481
083;2008;501
083;2009;551
083;2010;560
083;2011;563
083;2012;579
083;2013;588
083;2014;592
083;2015;584
084;2000;162
084;2001;182
084;2002;196
084;2003;195
084;2004;218
084;2005;240
084;2006;246
084;2007;279
084;2008;290
084;2009;291
084;2010;298
084;2011;309
084;2012;300
084;2013;327
084;2014;361
084;2015;358
085;2000;574
085;2001;604
085;2002;641
085;2003;659
085;2004;705
085;2005;747
085;2006;776
085;2007;790
085;2008;791
085;2009;816
085;2010;805
085;2011;832
085;2012;883
085;2013;899
085;2014;954
085;2015;989
091;2000;1071
091;2001;1055
091;2002;1068
091;2003;1133
091;2004;1212
091;2005;1246
091;2006;1224
091;2007;1292
091;2008;1354
091;2009;1464
091;2010;1499
091;2011;1511
091;2012;1505
091;2013;1505
091;2014;1571
091;2015;1572
092;2000;183
092;2001;184
092;2002;181
092;2003;207
092;2004;214
092;2005;204
092;2006;213
092;2007;242
092;2008;241
092;2009;245
092;2010;249
092;2011;255
092;2012;270
092;2013;279
092;2014;305
092;2015;318
101;2000;1954
101;2001;1936
101;2002;1989
101;2003;2069
101;2004;2099
101;2005;2062
101;2006;2095
101;2007;2132
101;2008;2155
101;2009;2238
101;2010;2237
101;2011;2252
101;2012;2209
101;2013;2299
101;2014;2366
101;2015;2393
102;2000;952
102;2001;1022
102;2002;1081
102;2003;1096
102;2004;1163
102;2005;1135
102;2006;1138
102;2007;1138
102;2008;1174
102;2009;1254
102;2010;1313
102;2011;1349
102;2012;1457
102;2013;1542
102;2014;1562
102;2015;1589
103;2000;1519
103;2001;1598
103;2002;1589
103;2003;1644
103;2004;1606
103;2005;1633
103;2006;1686
103;2007;1745
103;2008;1735
103;2009;1731
103;2010;1831
103;2011;1967
103;2012;1977
103;2013;2013
103;2014;2000
103;2015;2113
111;2000;1224
111;2001;1229
111;2002;1256
111;2003;1251
111;2004;1245
111;2005;1271
111;2006;1318
111;2007;1342
111;2008;1376
111;2009;1400
111;2010;1398
111;2011;1361
111;2012;1369
111;2013;1461
111;2014;1472
111;2015;1435
112;2000;587
112;2001;559
112;2002;574
112;2003;551
112;2004;558
112;2005;579
112;2006;593
112;2007;600
112;2008;615
112;2009;627
112;2010;626
112;2011;651
112;2012;683
112;2013;686
112;2014;694
112;2015;677
113;2000;3353
113;2001;3368
113;2002;3494
113;2003;3560
113;2004;3540
113;2005;3484
113;2006;3469
113;2007;3333
113;2008;3378
113;2009;3430
113;2010;3379
113;2011;3452
113;2012;3429
113;2013;3528
113;2014;3471
113;2015;3407
114;2000;1060
114;2001;1005
114;2002;982
114;2003;901
114;2004;908
114;2005;864
114;2006;834
114;2007;807
114;2008;764
114;2009;852
114;2010;979
114;2011;1091
114;2012;1171
114;2013;1181
114;2014;1139
114;2015;1165
115;2000;1057
115;2001;1113
115;2002;1176
115;2003;1176
115;2004;1177
115;2005;1182
115;2006;1218
115;2007;1203
115;2008;1221
115;2009;1260
115;2010;1282
115;2011;1288
115;2012;1343
115;2013;1389
115;2014;1449
115;2015;1397
121;2000;344
121;2001;347
121;2002;372
121;2003;362
121;2004;392
121;2005;385
121;2006;388
121;2007;378
121;2008;386
121;2009;433
121;2010;404
121;2011;390
121;2012;426
121;2013;482
121;2014;486
121;2015;493
122;2000;235
122;2001;241
122;2002;237
122;2003;239
122;2004;231
122;2005;224
122;2006;246
122;2007;267
122;2008;265
122;2009;275
122;2010;307
122;2011;311
122;2012;308
122;2013;343
122;2014;388
122;2015;380
131;2000;322
131;2001;325
131;2002;355
131;2003;359
131;2004;341
131;2005;353
131;2006;361
131;2007;358
131;2008;368
131;2009;405
131;2010;381
131;2011;389
131;2012;405
131;2013;435
131;2014;428
131;2015;438
132;2000;1271
132;2001;1249
132;2002;1243
132;2003;1268
132;2004;1277
132;2005;1271
132;2006;1307
132;2007;1316
132;2008;1384
132;2009;1398
132;2010;1394
132;2011;1389
132;2012;1448
132;2013;1464
132;2014;1459
132;2015;1428
141;2000;553
141;2001;581
141;2002;617
141;2003;636
141;2004;685
141;2005;688
141;2006;724
141;2007;740
141;2008;777
141;2009;809
141;2010;789
141;2011;805
141;2012;855
141;2013;847
141;2014;980
141;2015;1049
142;2000;479
142;2001;492
142;2002;540
142;2003;542
142;2004;553
142;2005;579
142;2006;582
142;2007;555
142;2008;580
142;2009;637
142;2010;615
142;2011;610
142;2012;624
142;2013;653
142;2014;671
142;2015;684
151;2000;620
151;2001;572
151;2002;587
151;2003;600
151;2004;577
151;2005;611
151;2006;642
151;2007;591
151;2008;608
151;2009;648
151;2010;650
151;2011;719
151;2012;755
151;2013;796
151;2014;916
151;2015;902
152;2000;267
152;2001;266
152;2002;269
152;2003;266
152;2004;280
152;2005;290
152;2006;291
152;2007;323
152;2008;316
152;2009;302
152;2010;306
152;2011;331
152;2012;340
152;2013;355
152;2014;397
152;2015;386
153;2000;699
153;2001;735
153;2002;710
153;2003;700
153;2004;663
153;2005;626
153;2006;584
153;2007;585
153;2008;632
153;2009;657
153;2010;626
153;2011;639
153;2012;649
153;2013;662
153;2014;692
153;2015;695
161;2000;2075
161;2001;2070
161;2002;2251
161;2003;2224
