wbe;jahr;personenwagen_anz
172;2014;614
172;2015;629
173;2009;552
173;2010;464
173;2011;502
173;2012;499
173;2013;519
173;2014;512
173;2015;509
174;2009;1293
174;2010;1255
174;2011;1271
174;2012;1292
174;2013;1283
174;2014;1265
174;2015;1288
180;2009;1714
180;2010;1678
180;2011;1718
180;2012;1717
180;2013;1712
180;2014;1664
180;2015;1647
190;2009;696
190;2010;666
190;2011;721
190;2012;733
190;2013;725
190;2014;702
190;2015;761
201;2009;1027
201;2010;1021
201;2011;1043
201;2012;1017
201;2013;1041
201;2014;1004
201;2015;1009
202;2009;796
202;2010;778
202;2011;773
202;2012;784
202;2013;785
202;2014;797
202;2015;807
203;2009;546
203;2010;563
203;2011;561
203;2012;572
203;2013;578
203;2014;583
203;2015;583
204;2009;425
204;2010;425
204;2011;421
204;2012;440
204;2013;428
204;2014;423
204;2015;429
205;2009;1065
205;2010;1064
205;2011;1077
205;2012;1095
205;2013;1090
205;2014;1095
205;2015;1077
206;2009;910
206;2010;901
206;2011;908
206;2012;897
206;2013;894
206;2014;905
206;2015;913
207;2009;1909
207;2010;1908
207;2011;1927
207;2012;1968
207;2013;2004
207;2014;1989
207;2015;2016
208;2009;840
208;2010;823
208;2011;826
208;2012;849
208;2013;850
208;2014;821
208;2015;820
301;2009;434
301;2010;439
301;2011;455
301;2012;454
301;2013;468
301;2014;470
301;2015;469
302;2009;35
302;2010;31
302;2011;30
302;2012;34
302;2013;30
302;2014;33
302;2015;39
