wbe;jahr;anteil_al
062;2002;42.2
062;2003;42.3
062;2004;43.5
062;2005;43.5
062;2006;43.2
062;2007;42.2
062;2008;42.0
062;2009;42.1
062;2010;41.1
062;2011;41.6
062;2012;42.8
062;2013;43.0
062;2014;42.5
062;2015;42.7
063;2000;33.5
063;2001;34.3
063;2002;34.7
063;2003;34.7
063;2004;35.5
063;2005;34.4
063;2006;34.5
063;2007;35.3
063;2008;35.7
063;2009;36.3
063;2010;35.5
063;2011;35.8
063;2012;35.6
063;2013;36.1
063;2014;36.8
063;2015;36.7
071;2000;13.1
071;2001;13.2
071;2002;13.9
071;2003;15.0
071;2004;15.8
071;2005;17.3
071;2006;17.8
071;2007;19.4
071;2008;20.6
071;2009;22.2
071;2010;22.6
071;2011;23.8
071;2012;24.8
071;2013;25.5
071;2014;25.4
071;2015;25.8
072;2000;11.3
072;2001;12.3
072;2002;13.3
072;2003;13.3
072;2004;14.2
072;2005;14.7
072;2006;15.3
072;2007;15.8
072;2008;15.6
072;2009;15.7
072;2010;15.9
072;2011;16.7
072;2012;17.2
072;2013;17.9
072;2014;18.8
072;2015;18.7
073;2000;7.3
073;2001;10.7
073;2002;13.4
073;2003;15.4
073;2004;16.2
073;2005;17.6
073;2006;15.7
073;2007;14.7
073;2008;11.9
073;2009;18.2
073;2010;24.0
073;2011;26.6
073;2012;28.1
073;2013;27.0
073;2014;26.0
073;2015;23.2
081;2000;17.2
081;2001;17.3
081;2002;18.4
081;2003;18.5
081;2004;19.9
081;2005;21.1
081;2006;22.1
081;2007;22.5
081;2008;22.8
081;2009;23.3
081;2010;24.1
081;2011;24.5
081;2012;25.5
081;2013;26.9
081;2014;25.6
081;2015;26.4
082;2000;10.0
082;2001;12.1
082;2002;12.5
082;2003;13.0
082;2004;13.7
082;2005;13.2
082;2006;14.8
082;2007;15.7
082;2008;15.1
082;2009;16.3
082;2010;16.9
082;2011;18.3
082;2012;18.5
082;2013;18.8
082;2014;19.4
082;2015;20.0
083;2000;19.0
083;2001;19.8
083;2002;20.0
083;2003;19.6
083;2004;20.5
083;2005;20.7
083;2006;21.6
083;2007;21.7
083;2008;22.1
083;2009;24.1
083;2010;24.9
083;2011;25.1
083;2012;25.4
083;2013;25.5
083;2014;25.5
083;2015;25.3
084;2000;10.0
084;2001;11.4
084;2002;12.1
084;2003;12.2
084;2004;13.5
084;2005;15.0
084;2006;15.5
084;2007;17.4
084;2008;18.3
084;2009;18.3
084;2010;18.6
084;2011;19.2
084;2012;18.7
084;2013;20.2
084;2014;21.8
084;2015;21.8
085;2000;10.5
085;2001;11.1
085;2002;11.9
085;2003;12.4
085;2004;13.2
085;2005;14.0
085;2006;14.7
085;2007;14.7
085;2008;14.8
085;2009;15.2
085;2010;15.3
085;2011;15.6
085;2012;16.3
085;2013;16.7
085;2014;17.6
085;2015;18.0
091;2000;22.0
091;2001;21.9
091;2002;22.2
091;2003;23.4
091;2004;24.9
091;2005;25.6
091;2006;25.2
091;2007;26.5
091;2008;27.5
091;2009;29.2
091;2010;29.9
091;2011;30.2
091;2012;29.9
091;2013;30.1
091;2014;31.3
091;2015;31.3
092;2000;10.2
092;2001;10.5
092;2002;10.4
092;2003;11.7
092;2004;12.1
092;2005;11.5
092;2006;12.0
092;2007;13.6
092;2008;13.7
092;2009;13.9
092;2010;14.2
092;2011;14.4
092;2012;15.0
092;2013;15.6
092;2014;16.7
092;2015;17.5
101;2000;31.1
101;2001;31.3
101;2002;31.9
101;2003;33.1
101;2004;33.3
101;2005;33.9
101;2006;34.5
101;2007;34.6
101;2008;35.0
101;2009;36.3
101;2010;35.7
101;2011;35.9
101;2012;35.4
101;2013;36.4
101;2014;36.8
101;2015;37.2
102;2000;21.6
102;2001;23.1
102;2002;24.4
102;2003;24.7
102;2004;26.0
102;2005;26.0
102;2006;26.3
102;2007;26.6
102;2008;27.1
102;2009;28.6
102;2010;30.2
102;2011;30.7
102;2012;32.2
102;2013;33.7
102;2014;34.0
102;2015;34.6
103;2000;29.2
103;2001;30.2
103;2002;30.3
103;2003;30.9
103;2004;30.5
103;2005;31.3
103;2006;32.4
103;2007;33.3
103;2008;33.0
