wbe;jahr;anteil_20bis64
062;2001;68.8
062;2002;68.7
062;2003;69.3
062;2004;69.1
062;2005;69.1
062;2006;69.4
062;2007;70.0
062;2008;70.2
062;2009;70.0
062;2010;69.9
062;2011;70.4
062;2012;70.7
062;2013;70.7
062;2014;70.9
062;2015;70.8
063;2000;69.1
063;2001;70.0
063;2002;70.1
063;2003;70.4
063;2004;71.4
063;2005;70.8
063;2006;71.4
063;2007;71.1
063;2008;70.7
063;2009;70.8
063;2010;71.0
063;2011;71.0
063;2012;71.3
063;2013;71.1
063;2014;70.4
063;2015;70.5
071;2000;55.0
071;2001;54.6
071;2002;54.3
071;2003;54.3
071;2004;54.3
071;2005;54.7
071;2006;55.1
071;2007;55.4
071;2008;55.3
071;2009;56.0
071;2010;56.0
071;2011;56.5
071;2012;56.5
071;2013;56.6
071;2014;56.6
071;2015;56.7
072;2000;50.5
072;2001;50.3
072;2002;50.5
072;2003;50.8
072;2004;51.2
072;2005;51.3
072;2006;52.2
072;2007;52.2
072;2008;53.0
072;2009;53.3
072;2010;53.2
072;2011;53.0
072;2012;52.6
072;2013;52.6
072;2014;52.5
072;2015;51.6
073;2000;54.1
073;2001;56.4
073;2002;57.5
073;2003;58.9
073;2004;58.5
073;2005;59.2
073;2006;58.1
073;2007;58.4
073;2008;57.1
073;2009;59.7
073;2010;58.4
073;2011;59.5
073;2012;58.2
073;2013;58.4
073;2014;58.9
073;2015;57.1
081;2000;67.7
081;2001;67.2
081;2002;67.2
081;2003;65.6
081;2004;65.7
081;2005;66.0
081;2006;64.8
081;2007;64.3
081;2008;63.5
081;2009;63.4
081;2010;61.9
081;2011;62.0
081;2012;62.5
081;2013;61.8
081;2014;61.6
081;2015;61.5
082;2000;52.6
082;2001;53.1
082;2002;54.6
082;2003;55.9
082;2004;57.2
082;2005;57.4
082;2006;58.0
082;2007;59.1
082;2008;58.8
082;2009;59.0
082;2010;59.2
082;2011;59.4
082;2012;58.4
082;2013;58.3
082;2014;58.3
082;2015;59.2
083;2000;51.8
083;2001;51.5
083;2002;52.5
083;2003;52.9
083;2004;53.5
083;2005;53.6
083;2006;52.8
083;2007;53.2
083;2008;54.6
083;2009;55.2
083;2010;55.9
083;2011;56.1
083;2012;57.4
083;2013;57.8
083;2014;58.5
083;2015;58.8
084;2000;59.3
084;2001;59.9
084;2002;60.5
084;2003;60.8
084;2004;61.1
084;2005;62.4
084;2006;62.5
084;2007;62.7
084;2008;63.4
084;2009;63.9
084;2010;64.7
084;2011;64.9
084;2012;64.3
084;2013;63.4
084;2014;63.3
084;2015;64.0
085;2000;56.7
085;2001;56.8
085;2002;57.1
085;2003;57.5
085;2004;58.1
085;2005;57.8
085;2006;57.4
085;2007;58.1
085;2008;57.9
085;2009;58.6
085;2010;58.6
085;2011;58.9
085;2012;58.8
085;2013;59.4
085;2014;59.3
085;2015;59.0
091;2000;65.0
091;2001;64.8
091;2002;65.7
091;2003;65.7
091;2004;65.6
091;2005;66.0
091;2006;66.0
091;2007;66.0
091;2008;65.4
091;2009;65.2
091;2010;65.1
091;2011;64.6
091;2012;64.9
091;2013;64.8
091;2014;65.0
091;2015;64.9
092;2000;52.7
092;2001;53.0
092;2002;52.7
092;2003;53.5
092;2004;54.3
092;2005;54.2
092;2006;54.1
092;2007;54.4
092;2008;55.3
092;2009;54.8
092;2010;54.8
092;2011;55.5
092;2012;55.4
092;2013;55.7
092;2014;55.0
092;2015;55.0
101;2000;68.4
101;2001;68.2
101;2002;68.6
101;2003;68.9
101;2004;68.8
101;2005;68.6
101;2006;68.7
101;2007;68.7
101;2008;68.6
101;2009;68.8
101;2010;69.1
101;2011;69.5
101;2012;69.7
101;2013;69.5
101;2014;69.7
101;2015;69.5
102;2000;58.5
102;2001;58.9
102;2002;59.8
102;2003;60.3
102;2004;61.4
102;2005;62.6
102;2006;63.1
102;2007;63.6
102;2008;63.9
102;2009;64.1
102;2010;65.0
102;2011;65.6
102;2012;65.8
102;2013;66.4
102;2014;66.5
102;2015;66.5
103;2000;53.9
103;2001;54.4
103;2002;55.0
103;2003;55.6
103;2004;56.8
103;2005;57.0
103;2006;57.6
103;2007;58.4
103;2008;59.5
103;2009;60.2
103;2010;61.0
103;2011;60.7
103;2012;61.1
103;2013;60.6
103;2014;61.3
103;2015;61.4
111;2000;68.3
111;2001;69.0
111;2002;70.0
111;2003;69.9
111;2004;70.0
111;2005;70.4
111;2006;71.0
111;2007;71.2
111;2008;71.3
111;2009;71.8
111;2010;70.9
111;2011;71.2
111;2012;70.5
111;2013;70.5
111;2014;70.0
111;2015;69.8
112;2000;64.9
112;2001;65.1
112;2002;65.5
112;2003;65.0
112;2004;65.3
112;2005;65.6
112;2006;65.3
112;2007;64.8
112;2008;65.2
112;2009;65.6
112;2010;65.4
112;2011;66.1
112;2012;66.0
112;2013;65.3
112;2014;65.1
112;2015;65.0
113;2000;66.8
113;2001;66.8
113;2002;67.6
113;2003;68.8
113;2004;69.4
113;2005;69.3
113;2006;69.6
113;2007;69.6
113;2008;69.3
113;2009;69.7
113;2010;70.0
113;2011;70.4
113;2012;71.0
113;2013;71.2
113;2014;71.1
113;2015;71.6
114;2000;67.9
114;2001;68.1
114;2002;69.7
114;2003;69.9
114;2004;71.4
114;2005;73.1
114;2006;73.7
114;2007;73.4
114;2008;74.1
114;2009;75.4
114;2010;77.5
114;2011;76.7
114;2012;77.2
114;2013;76.4
114;2014;75.5
114;2015;74.9
115;2000;52.6
115;2001;53.0
115;2002;53.2
115;2003;53.4
115;2004;53.1
115;2005;53.0
115;2006;53.6
115;2007;53.5
115;2008;53.6
115;2009;54.2
115;2010;54.8
115;2011;55.8
115;2012;56.2
115;2013;55.9
115;2014;54.9
115;2015;54.6
121;2000;67.5
121;2001;69.1
121;2002;69.5
121;2003;70.1
121;2004;69.8
121;2005;69.8
121;2006;69.1
121;2007;69.0
121;2008;69.2
121;2009;70.7
121;2010;70.5
121;2011;71.1
121;2012;70.5
121;2013;71.4
121;2014;71.6
121;2015;70.7
122;2000;65.2
122;2001;65.0
122;2002;65.4
122;2003;66.1
122;2004;64.8
122;2005;65.5
122;2006;65.7
122;2007;66.3
122;2008;66.1
122;2009;67.4
122;2010;68.7
122;2011;68.4
122;2012;67.6
122;2013;69.0
122;2014;70.8
122;2015;70.5
131;2000;70.5
131;2001;69.6
131;2002;69.8
131;2003;69.1
131;2004;69.5
131;2005;70.4
131;2006;69.6
131;2007;69.5
131;2008;69.4
131;2009;71.0
131;2010;70.9
131;2011;70.7
131;2012;72.0
131;2013;72.3
131;2014;71.1
131;2015;72.2
132;2000;64.3
132;2001;64.6
132;2002;65.0
132;2003;65.2
132;2004;65.2
132;2005;64.5
132;2006;64.7
132;2007;65.3
132;2008;64.7
132;2009;66.0
132;2010;65.8
132;2011;65.5
132;2012;65.8
132;2013;65.3
132;2014;65.6
132;2015;64.3
141;2000;66.2
141;2001;66.4
141;2002;67.0
141;2003;67.5
141;2004;68.2
141;2005;67.2
141;2006;67.9
141;2007;67.9
