wbe;jahr;anzahl_evangelischrefe
071;2007;1450
071;2008;1421
071;2009;1370
071;2010;1348
071;2011;1290
071;2012;1289
071;2013;1269
071;2014;1212
071;2015;1212
072;2000;1161
072;2001;1142
072;2002;1111
072;2003;1096
072;2004;1066
072;2005;1051
072;2006;1040
072;2007;991
072;2008;980
072;2009;984
072;2010;952
072;2011;929
072;2012;907
072;2013;866
072;2014;833
072;2015;806
073;2000;88
073;2001;88
073;2002;82
073;2003;75
073;2004;75
073;2005;68
073;2006;70
073;2007;69
073;2008;68
073;2009;75
073;2010;73
073;2011;63
073;2012;58
073;2013;58
073;2014;59
073;2015;58
081;2000;549
081;2001;535
081;2002;516
081;2003;499
081;2004;498
081;2005;491
081;2006;499
081;2007;485
081;2008;483
081;2009;452
081;2010;464
081;2011;475
081;2012;452
081;2013;444
081;2014;449
081;2015;421
082;2000;588
082;2001;570
082;2002;541
082;2003;519
082;2004;511
082;2005;507
082;2006;486
082;2007;471
082;2008;467
082;2009;459
082;2010;431
082;2011;433
082;2012;432
082;2013;424
082;2014;404
082;2015;406
083;2000;606
083;2001;599
083;2002;603
083;2003;584
083;2004;588
083;2005;563
083;2006;535
083;2007;516
083;2008;491
083;2009;476
083;2010;456
083;2011;464
083;2012;444
083;2013;439
083;2014;449
083;2015;414
084;2000;547
084;2001;528
084;2002;521
084;2003;520
084;2004;510
084;2005;496
084;2006;476
084;2007;472
084;2008;443
084;2009;453
084;2010;434
084;2011;415
084;2012;414
084;2013;408
084;2014;397
084;2015;388
085;2000;1793
085;2001;1730
085;2002;1671
085;2003;1656
085;2004;1608
085;2005;1588
085;2006;1538
085;2007;1499
085;2008;1477
085;2009;1417
085;2010;1358
085;2011;1332
085;2012;1337
085;2013;1288
085;2014;1267
085;2015;1255
091;2000;1143
091;2001;1117
091;2002;1080
091;2003;1041
091;2004;1033
091;2005;1047
091;2006;991
091;2007;980
091;2008;948
091;2009;911
091;2010;845
091;2011;840
091;2012;837
091;2013;810
