wbe;jahr;ant_geschieden
062;2001;8.9
062;2002;8.8
062;2003;9.1
062;2004;9.4
062;2005;9.3
062;2006;9.7
062;2007;9.9
062;2008;9.8
062;2009;9.6
062;2010;10.0
062;2011;9.7
062;2012;9.5
062;2013;9.3
062;2014;9.1
062;2015;8.9
063;2000;8.1
063;2001;8.3
063;2002;8.4
063;2003;8.6
063;2004;8.8
063;2005;9.1
063;2006;9.4
063;2007;9.3
063;2008;9.2
063;2009;9.3
063;2010;9.6
063;2011;9.7
063;2012;10.1
063;2013;9.8
063;2014;9.8
063;2015;10.3
071;2000;6.1
071;2001;6.2
071;2002;6.5
071;2003;6.9
071;2004;7.0
071;2005;7.5
071;2006;7.3
071;2007;7.2
071;2008;7.5
071;2009;8.0
071;2010;8.2
071;2011;8.1
071;2012;8.0
071;2013;7.6
071;2014;7.6
071;2015;7.3
072;2000;4.9
072;2001;4.9
072;2002;5.4
072;2003;6.0
072;2004;6.0
072;2005;5.8
072;2006;6.0
072;2007;6.3
072;2008;6.4
072;2009;6.7
072;2010;6.6
072;2011;6.9
072;2012;7.1
072;2013;7.2
072;2014;7.3
072;2015;7.1
073;2000;4.7
073;2001;4.5
073;2002;5.3
073;2003;5.3
073;2004;6.2
073;2005;5.9
073;2006;5.1
073;2007;4.3
073;2008;5.0
073;2009;5.1
073;2010;6.8
073;2011;7.3
073;2012;7.2
073;2013;6.8
073;2014;5.8
073;2015;7.1
081;2000;8.5
081;2001;8.5
081;2002;8.3
081;2003;8.5
081;2004;9.0
081;2005;9.3
081;2006;9.8
081;2007;10.0
081;2008;10.3
081;2009;10.0
081;2010;9.9
081;2011;10.0
081;2012;9.7
081;2013;9.5
081;2014;9.5
081;2015;9.2
082;2000;6.7
082;2001;7.3
082;2002;7.8
082;2003;7.8
082;2004;7.8
082;2005;8.1
082;2006;8.1
082;2007;8.2
082;2008;8.2
082;2009;8.4
082;2010;8.7
082;2011;9.0
082;2012;9.6
082;2013;9.8
082;2014;9.8
082;2015;9.5
083;2000;6.5
083;2001;6.9
083;2002;7.8
083;2003;7.9
083;2004;7.9
083;2005;8.2
083;2006;8.8
083;2007;9.3
083;2008;9.3
083;2009;8.9
083;2010;9.3
083;2011;9.4
083;2012;9.6
083;2013;9.6
083;2014;9.8
083;2015;10.3
084;2000;7.8
084;2001;8.2
084;2002;7.7
084;2003;8.0
084;2004;7.9
084;2005;7.7
084;2006;7.4
084;2007;8.4
084;2008;8.4
084;2009;8.6
084;2010;8.3
084;2011;8.3
084;2012;8.3
084;2013;8.3
084;2014;8.3
084;2015;8.8
085;2000;6.4
085;2001;6.4
085;2002;6.6
085;2003;7.1
085;2004;7.4
085;2005;7.3
085;2006;7.4
085;2007;7.8
085;2008;7.8
085;2009;8.4
085;2010;8.9
085;2011;8.7
085;2012;8.5
085;2013;8.8
085;2014;8.7
085;2015;8.8
091;2000;8.7
091;2001;9.0
091;2002;9.5
091;2003;9.3
091;2004;9.9
091;2005;10.1
091;2006;10.2
091;2007;10.4
091;2008;10.1
091;2009;10.3
091;2010;10.4
091;2011;10.8
091;2012;11.2
091;2013;11.2
091;2014;11.2
091;2015;10.8
092;2000;6.9
092;2001;7.1
092;2002;7.4
092;2003;7.3
092;2004;7.4
092;2005;7.2
092;2006;7.8
092;2007;8.1
092;2008;8.3
092;2009;8.6
092;2010;9.8
092;2011;9.4
092;2012;9.4
092;2013;9.4
092;2014;9.5
092;2015;9.2
101;2000;8.7
101;2001;8.4
101;2002;8.3
101;2003;8.0
101;2004;8.4
101;2005;9.0
101;2006;9.4
101;2007;9.1
101;2008;9.3
101;2009;9.4
101;2010;10.1
101;2011;10.1
101;2012;9.9
101;2013;9.8
101;2014;9.8
101;2015;9.9
102;2000;8.6
102;2001;8.4
102;2002;8.4
102;2003;8.2
102;2004;8.5
102;2005;9.1
102;2006;9.5
102;2007;9.6
102;2008;10.0
102;2009;9.9
102;2010;10.5
102;2011;10.8
102;2012;10.8
102;2013;10.7
102;2014;10.7
102;2015;11.3
103;2000;7.7
103;2001;7.5
103;2002;7.5
103;2003;7.6
103;2004;7.9
103;2005;8.0
103;2006;8.5
103;2007;8.5
103;2008;8.7
103;2009;8.9
103;2010;9.0
103;2011;8.6
103;2012;8.9
103;2013;9.4
103;2014;9.6
103;2015;9.6
111;2000;8.3
111;2001;8.3
111;2002;7.7
111;2003;8.1
111;2004;8.3
111;2005;8.7
111;2006;8.9
111;2007;9.1
111;2008;9.1
111;2009;9.6
111;2010;9.7
111;2011;9.7
111;2012;9.8
111;2013;9.9
111;2014;9.4
111;2015;9.3
112;2000;8.1
112;2001;8.2
112;2002;8.4
112;2003;8.4
112;2004;8.6
112;2005;9.5
112;2006;9.3
112;2007;10.0
112;2008;10.3
112;2009;10.3
112;2010;10.3
112;2011;10.1
112;2012;9.8
112;2013;9.6
112;2014;9.6
112;2015;9.7
113;2000;7.1
113;2001;7.5
113;2002;7.6
113;2003;7.3
113;2004;7.5
113;2005;7.3
113;2006;7.7
113;2007;8.1
113;2008;8.2
113;2009;8.5
113;2010;8.6
113;2011;8.7
113;2012;9.2
113;2013;9.4
113;2014;9.7
113;2015;9.8
114;2000;6.1
114;2001;6.6
114;2002;6.2
114;2003;6.7
114;2004;6.7
114;2005;7.7
114;2006;8.1
114;2007;7.9
114;2008;8.3
114;2009;8.2
114;2010;8.9
114;2011;8.5
114;2012;8.4
114;2013;8.7
114;2014;8.4
114;2015;8.5
115;2000;6.6
115;2001;7.1
115;2002;7.0
115;2003;7.3
115;2004;7.0
115;2005;7.2
115;2006;7.2
115;2007;7.2
115;2008;7.3
115;2009;7.3
