wbe;jahr;alter0
011;2000;25
011;2001;29
011;2002;26
011;2003;27
011;2004;23
011;2005;29
011;2006;20
011;2007;25
011;2008;25
011;2009;21
011;2010;27
011;2011;28
011;2012;26
011;2013;37
011;2014;36
011;2015;34
012;2000;34
012;2001;35
012;2002;28
012;2003;34
012;2004;35
012;2005;37
012;2006;40
012;2007;35
012;2008;36
012;2009;34
012;2010;33
012;2011;31
012;2012;31
012;2013;37
012;2014;36
012;2015;35
013;2000;58
013;2001;67
013;2002;61
013;2003;57
013;2004;56
013;2005;51
013;2006;53
013;2007;56
013;2008;65
013;2009;58
013;2010;58
013;2011;61
013;2012;66
013;2013;60
013;2014;54
013;2015;63
014;2000;72
014;2001;67
014;2002;77
014;2003;69
014;2004;74
014;2005;69
014;2006;55
014;2007;57
014;2008;50
014;2009;52
014;2010;51
014;2011;56
014;2012;63
014;2013;63
014;2014;64
014;2015;57
021;2000;152
021;2001;144
021;2002;127
021;2003;125
021;2004;127
021;2005;130
021;2006;110
021;2007;113
021;2008;115
021;2009;126
021;2010;112
021;2011;133
021;2012;142
021;2013;158
021;2014;157
021;2015;171
022;2000;40
022;2001;40
022;2002;46
022;2003;51
022;2004;47
022;2005;53
022;2006;57
022;2007;55
022;2008;61
022;2009;55
022;2010;67
022;2011;60
022;2012;58
022;2013;59
022;2014;56
022;2015;63
023;2000;43
023;2001;41
023;2002;48
023;2003;41
023;2004;36
023;2005;43
023;2006;52
023;2007;55
023;2008;57
023;2009;58
023;2010;57
023;2011;52
023;2012;56
023;2013;48
023;2014;44
023;2015;54
024;2000;29
024;2001;27
024;2002;33
024;2003;30
024;2004;33
024;2005;29
024;2006;29
024;2007;23
024;2008;24
024;2009;34
024;2010;43
024;2011;37
024;2012;39
024;2013;46
024;2014;49
024;2015;50
025;2000;98
025;2001;105
025;2002;94
025;2003;92
025;2004;97
025;2005;98
025;2006;106
025;2007;100
025;2008;94
025;2009;106
025;2010;97
025;2011;97
025;2012;102
025;2013;122
025;2014;150
025;2015;155
026;2000;27
026;2001;29
026;2002;33
026;2003;28
026;2004;25
026;2005;23
026;2006;21
026;2007;22
026;2008;18
026;2009;18
026;2010;26
026;2011;24
026;2012;25
026;2013;23
026;2014;17
026;2015;19
031;2000;449
031;2001;431
031;2002;419
031;2003;416
031;2004;421
031;2005;408
031;2006;402
031;2007;391
031;2008;399
031;2009;384
031;2010;370
031;2011;356
031;2012;368
031;2013;364
031;2014;379
031;2015;391
032;2000;479
032;2001;479
032;2002;518
032;2003;545
032;2004;546
032;2005;540
032;2006;543
032;2007;525
032;2008;488
032;2009;501
032;2010;505
032;2011;498
032;2012;498
032;2013;506
032;2014;513
032;2015;516
033;2000;421
033;2001;405
033;2002;405
033;2003;404
033;2004;388
033;2005;416
033;2006;399
033;2007;402
033;2008;402
033;2009;402
033;2010;412
033;2011;424
033;2012;447
033;2013;458
033;2014;460
033;2015;464
034;2000;12
034;2001;16
034;2002;14
034;2003;17
034;2004;17
034;2005;15
034;2006;14
034;2007;20
034;2008;19
034;2009;20
034;2010;16
034;2011;16
034;2012;16
034;2013;21
034;2014;23
034;2015;13
041;2000;630
041;2001;626
041;2002;607
041;2003;610
041;2004;601
041;2005;608
041;2006;586
041;2007;598
041;2008;584
041;2009;596
041;2010;586
041;2011;592
041;2012;593
041;2013;594
041;2014;578
041;2015;592
042;2000;641
042;2001;630
042;2002;619
042;2003;617
042;2004;611
042;2005;592
042;2006;616
042;2007;594
042;2008;622
042;2009;633
042;2010;665
042;2011;685
042;2012;692
042;2013;693
042;2014;708
042;2015;695
051;2000;7
051;2001;7
051;2002;6
051;2003;6
051;2004;9
051;2005;6
051;2006;6
051;2007;7
051;2008;3
051;2009;2
051;2010;0
051;2011;2
051;2012;2
051;2013;2
051;2014;5
051;2015;4
052;2000;90
052;2001;90
052;2002;85
052;2003;97
052;2004;105
052;2005;100
052;2006;111
052;2007;114
052;2008;120
052;2009;129
052;2010;136
052;2011;144
052;2012;155
052;2013;168
052;2014;164
052;2015;167
053;2000;799
053;2001;809
053;2002;812
053;2003;789
053;2004;816
053;2005;816
053;2006;855
053;2007;847
053;2008;903
053;2009;893
053;2010;944
053;2011;967
053;2012;989
053;2013;1006
053;2014;1024
053;2015;1045
054;2000;306
054;2001;295
054;2002;294
054;2003;292
054;2004;310
054;2005;333
054;2006;322
054;2007;342
054;2008;341
054;2009;347
054;2010;358
054;2011;350
054;2012;348
054;2013;347
054;2014;362
054;2015;367
055;2000;128
055;2001;120
055;2002;132
055;2003;128
055;2004;136
055;2005;141
055;2006;114
055;2007;124
055;2008;135
055;2009;135
055;2010;142
055;2011;140
055;2012;144
055;2013;154
055;2014;157
055;2015;137
061;2000;1057
061;2001;1027
061;2002;1077
061;2003;1076
061;2004;1020
061;2005;1016
061;2006;1007
061;2007;919
061;2008;884
061;2009;851
061;2010;840
061;2011;866
061;2012;887
061;2013;885
061;2014;892
061;2015;883
062;2000;1218
062;2001;1218
062;2002;1244
062;2003;1212
062;2004;1232
062;2005;1227
062;2006;1210
062;2007;1167
062;2008;1175
062;2009;1185
062;2010;1144
062;2011;1118
062;2012;1099
062;2013;1080
062;2014;1042
062;2015;1042
063;2000;871
063;2001;859
063;2002;856
063;2003;845
063;2004;790
063;2005;751
063;2006;707
063;2007;754
063;2008;766
063;2009;757
063;2010;762
063;2011;759
063;2012;755
063;2013;760
063;2014;798
063;2015;782
071;2000;954
071;2001;978
071;2002;965
071;2003;981
071;2004;992
071;2005;969
071;2006;944
071;2007;984
071;2008;1019
071;2009;1020
071;2010;1022
071;2011;1000
071;2012;1021
071;2013;1045
071;2014;1054
071;2015;1078
072;2000;684
072;2001;695
072;2002;689
072;2003;677
072;2004;667
072;2005;671
072;2006;653
072;2007;662
072;2008;658
072;2009;655
072;2010;677
072;2011;692
072;2012;690
072;2013;702
072;2014;733
072;2015;761
073;2000;56
073;2001;59
073;2002;57
073;2003;56
073;2004;55
073;2005;55
073;2006;57
073;2007;52
073;2008;50
073;2009;57
073;2010;67
073;2011;59
073;2012;68
073;2013;67
073;2014;64
073;2015;60
081;2000;270
081;2001;266
081;2002;264
081;2003;273
081;2004;254
081;2005;255
081;2006;265
081;2007;268
081;2008;285
081;2009;288
081;2010;310
081;2011;307
081;2012;303
081;2013;334
081;2014;327
081;2015;321
082;2000;344
082;2001;359
082;2002;346
082;2003;335
082;2004;318
082;2005;319
082;2006;326
082;2007;338
082;2008;345
082;2009;353
082;2010;347
082;2011;348
082;2012;365
082;2013;364
082;2014;359
082;2015;357
083;2000;342
083;2001;338
083;2002;337
083;2003;334
083;2004;343
083;2005;349
083;2006;356
083;2007;333
083;2008;323
083;2009;343
083;2010;333
083;2011;340
083;2012;336
