wbe;jahr;anzahl_ch
063;2007;3393
063;2008;3421
063;2009;3405
063;2010;3413
063;2011;3400
063;2012;3441
063;2013;3440
063;2014;3455
063;2015;3435
071;2000;4672
071;2001;4639
071;2002;4551
071;2003;4474
071;2004;4433
071;2005;4283
071;2006;4231
071;2007;4236
071;2008;4172
071;2009;4127
071;2010;4102
071;2011;4073
071;2012;4071
071;2013;4074
071;2014;4051
071;2015;4029
072;2000;2994
072;2001;2953
072;2002;2924
072;2003;2893
072;2004;2842
072;2005;2821
072;2006;2794
072;2007;2751
072;2008;2777
072;2009;2774
072;2010;2781
072;2011;2779
072;2012;2732
072;2013;2711
072;2014;2710
072;2015;2726
073;2000;216
073;2001;217
073;2002;214
073;2003;208
073;2004;202
073;2005;196
073;2006;199
073;2007;197
073;2008;193
073;2009;207
073;2010;212
073;2011;201
073;2012;210
073;2013;216
073;2014;216
073;2015;215
081;2000;1841
081;2001;1807
081;2002;1807
081;2003;1787
081;2004;1747
081;2005;1729
081;2006;1698
081;2007;1690
081;2008;1694
081;2009;1665
081;2010;1643
081;2011;1659
081;2012;1643
081;2013;1638
081;2014;1644
081;2015;1632
082;2000;1703
082;2001;1661
082;2002;1643
082;2003;1626
082;2004;1608
082;2005;1571
082;2006;1540
082;2007;1554
082;2008;1575
082;2009;1560
082;2010;1530
082;2011;1524
082;2012;1510
082;2013;1499
082;2014;1508
082;2015;1528
083;2000;1846
083;2001;1806
083;2002;1803
083;2003;1798
083;2004;1823
083;2005;1805
083;2006;1765
083;2007;1734
083;2008;1761
083;2009;1735
083;2010;1691
083;2011;1682
083;2012;1701
083;2013;1722
083;2014;1726
083;2015;1722
084;2000;1461
084;2001;1413
084;2002;1424
084;2003;1407
084;2004;1394
084;2005;1362
084;2006;1344
084;2007;1328
084;2008;1296
084;2009;1300
084;2010;1301
084;2011;1303
084;2012;1305
084;2013;1289
084;2014;1295
084;2015;1284
085;2000;4886
085;2001;4834
085;2002;4742
085;2003;4676
085;2004;4634
085;2005;4590
085;2006;4520
085;2007;4578
085;2008;4562
085;2009;4540
085;2010;4473
085;2011;4503
085;2012;4520
085;2013;4496
085;2014;4479
085;2015;4495
091;2000;3788
091;2001;3756
091;2002;3737
091;2003;3709
091;2004;3656
091;2005;3619
091;2006;3634
091;2007;3591
091;2008;3577
091;2009;3544
091;2010;3516
091;2011;3494
091;2012;3532
091;2013;3500
091;2014;3446
091;2015;3452
092;2000;1609
092;2001;1576
092;2002;1564
092;2003;1569
092;2004;1549
092;2005;1569
092;2006;1565
092;2007;1543
092;2008;1520
092;2009;1515
092;2010;1505
092;2011;1510
092;2012;1525
092;2013;1512
092;2014;1518
092;2015;1499
101;2000;4330
101;2001;4252
101;2002;4238
101;2003;4188
101;2004;4195
101;2005;4025
101;2006;3979
101;2007;4025
101;2008;3994
101;2009;3921
101;2010;4032
101;2011;4029
101;2012;4034
101;2013;4024
101;2014;4066
101;2015;4041
102;2000;3465
102;2001;3393
102;2002;3343
102;2003;3340
102;2004;3316
102;2005;3233
102;2006;3181
102;2007;3147
102;2008;3155
102;2009;3129
102;2010;3038
102;2011;3040
102;2012;3069
102;2013;3036
102;2014;3028
102;2015;2998
103;2000;3690
103;2001;3698
103;2002;3660
103;2003;3670
103;2004;3653
103;2005;3578
103;2006;3525
103;2007;3496
103;2008;3516
103;2009;3471
103;2010;3524
103;2011;3481
103;2012;3449
103;2013;3466
103;2014;3432
103;2015;3458
111;2000;2434
111;2001;2424
111;2002;2428
111;2003;2460
111;2004;2436
111;2005;2378
111;2006;2305
111;2007;2330
111;2008;2326
111;2009;2285
111;2010;2317
111;2011;2314
111;2012;2327
111;2013;2290
111;2014;2287
111;2015;2268
112;2000;1382
112;2001;1385
112;2002;1360
112;2003;1333
112;2004;1345
112;2005;1330
112;2006;1350
112;2007;1335
112;2008;1343
112;2009;1319
112;2010;1328
112;2011;1293
112;2012;1293
112;2013;1302
112;2014;1295
112;2015;1275
113;2000;3328
113;2001;3329
113;2002;3366
113;2003;3311
113;2004;3304
113;2005;3334
113;2006;3331
113;2007;3435
113;2008;3476
113;2009;3430
113;2010;3448
113;2011;3478
113;2012;3512
113;2013;3523
113;2014;3523
113;2015;3533
114;2000;627
114;2001;643
114;2002;634
114;2003;653
114;2004;669
114;2005;651
114;2006;621
114;2007;634
114;2008;676
114;2009;713
114;2010;846
114;2011;882
114;2012;889
114;2013;876
114;2014;884
114;2015;882
115;2000;2886
115;2001;2794
115;2002;2733
115;2003;2715
115;2004;2683
115;2005;2639
115;2006;2628
115;2007;2601
115;2008;2586
115;2009;2615
115;2010;2574
115;2011;2539
115;2012;2490
115;2013;2468
115;2014;2523
115;2015;2522
121;2000;1157
121;2001;1156
121;2002;1147
121;2003;1112
121;2004;1103
121;2005;1071
121;2006;1049
121;2007;1032
121;2008;1009
121;2009;997
121;2010;991
121;2011;989
121;2012;973
121;2013;966
121;2014;975
121;2015;976
122;2000;609
122;2001;596
122;2002;608
122;2003;588
122;2004;588
122;2005;575
122;2006;565
122;2007;536
122;2008;554
122;2009;577
122;2010;563
122;2011;581
122;2012;581
122;2013;589
122;2014;596
122;2015;586
131;2000;572
131;2001;583
131;2002;562
131;2003;579
131;2004;574
131;2005;552
131;2006;539
131;2007;562
131;2008;544
131;2009;544
131;2010;543
131;2011;539
131;2012;537
131;2013;535
131;2014;522
131;2015;540
132;2000;1621
132;2001;1622
132;2002;1613
132;2003;1577
132;2004;1597
132;2005;1567
132;2006;1554
132;2007;1625
132;2008;1665
132;2009;1639
132;2010;1639
132;2011;1654
132;2012;1661
132;2013;1657
132;2014;1641
132;2015;1607
141;2000;2220
141;2001;2180
141;2002;2219
141;2003;2306
141;2004;2315
141;2005;2301
141;2006;2281
141;2007;2272
141;2008;2246
141;2009;2229
141;2010;2240
141;2011;2220
141;2012;2189
141;2013;2163
141;2014;2231
141;2015;2183
142;2000;2002
142;2001;1950
142;2002;1933
142;2003;1899
142;2004;1894
142;2005;1886
142;2006;1815
142;2007;1808
142;2008;1792
142;2009;1782
142;2010;1739
142;2011;1724
142;2012;1698
142;2013;1699
142;2014;1709
142;2015;1691
151;2000;2076
151;2001;2064
151;2002;2082
151;2003;2070
151;2004;2055
151;2005;2061
151;2006;2041
151;2007;2043
151;2008;1963
151;2009;1970
151;2010;1905
151;2011;1955
151;2012;1911
151;2013;1964
151;2014;1963
151;2015;2039
152;2000;2391
152;2001;2360
152;2002;2336
152;2003;2289
152;2004;2301
152;2005;2285
152;2006;2255
152;2007;2230
152;2008;2231
152;2009;2226
152;2010;2231
152;2011;2252
152;2012;2226
152;2013;2191
152;2014;2167
152;2015;2140
153;2000;3084
153;2001;3077
153;2002;3048
153;2003;2990
153;2004;2939
153;2005;2850
153;2006;2737
153;2007;2664
153;2008;2735
153;2009;2781
153;2010;2823
153;2011;2810
153;2012;2767
153;2013;2758
153;2014;2799
153;2015;2842
161;2000;2110
161;2001;2143
161;2002;2119
161;2003;2172
161;2004;2174
161;2005;2161
161;2006;2172
161;2007;2200
161;2008;2180
161;2009;2197
161;2010;2164
161;2011;2090
161;2012;2195
161;2013;2233
161;2014;2223
161;2015;2195
162;2000;47
162;2001;49
162;2002;52
162;2003;57
162;2004;46
162;2005;47
162;2006;60
162;2007;72
162;2008;83
162;2009;179
162;2010;214
162;2011;229
162;2012;197
162;2013;198
162;2014;210
162;2015;587
171;2000;963
171;2001;928
171;2002;909
171;2003;909
171;2004;899
171;2005;886
171;2006;890
171;2007;855
171;2008;872
171;2009;850
171;2010;828
171;2011;808
171;2012;852
171;2013;840
171;2014;844
171;2015;864
172;2000;2157
172;2001;2102
172;2002;2047
172;2003;2056
172;2004;2091
172;2005;2060
172;2006;2002
172;2007;2008
172;2008;2058
172;2009;2003
172;2010;1997
172;2011;1989
172;2012;1947
172;2013;2002
172;2014;1987
172;2015;2007
173;2000;1431
173;2001;1433
173;2002;1504
173;2003;1511
173;2004;1496
173;2005;1507
173;2006;1462
173;2007;1534
173;2008;1531
173;2009;1512
173;2010;1493
173;2011;1470
173;2012;1464
173;2013;1490
173;2014;1478
173;2015;1500
174;2000;3223
174;2001;3245
174;2002;3196
174;2003;3266
174;2004;3324
174;2005;3353
174;2006;3332
174;2007;3407
174;2008;3436
174;2009;3391
174;2010;3455
174;2011;3488
174;2012;3516
174;2013;3542
174;2014;3518
174;2015;3503
180;2000;3603
180;2001;3597
180;2002;3544
180;2003;3506
180;2004;3505
180;2005;3461
180;2006;3519
180;2007;3575
180;2008;3696
180;2009;3685
180;2010;3664
180;2011;3625
180;2012;3561
180;2013;3599
180;2014;3567
180;2015;3511
190;2000;1419
190;2001;1399
190;2002;1390
190;2003;1408
190;2004;1405
190;2005;1402
190;2006;1378
190;2007;1431
190;2008;1464
190;2009;1443
190;2010;1476
190;2011;1492
190;2012;1567
190;2013;1562
190;2014;1562
190;2015;1555
201;2000;2751
201;2001;2817
201;2002;2853
201;2003;2841
201;2004;2781
201;2005;2695
201;2006;2661
201;2007;2620
201;2008;2634
201;2009;2615
201;2010;2579
201;2011;2571
201;2012;2589
201;2013;2553
201;2014;2523
201;2015;2521
202;2000;1846
202;2001;1840
202;2002;1773
202;2003;1778
202;2004;1747
202;2005;1733
202;2006;1731
202;2007;1708
202;2008;1681
202;2009;1696
202;2010;1688
202;2011;1660
202;2012;1639
202;2013;1592
202;2014;1602
202;2015;1585
203;2000;1098
203;2001;1060
203;2002;997
203;2003;986
203;2004;987
203;2005;960
203;2006;988
203;2007;978
203;2008;968
203;2009;954
203;2010;972
203;2011;961
203;2012;964
203;2013;967
203;2014;942
203;2015;919
204;2000;905
204;2001;889
204;2002;875
204;2003;882
204;2004;868
204;2005;835
204;2006;823
204;2007;834
204;2008;826
204;2009;836
204;2010;833
204;2011;838
204;2012;822
204;2013;814
204;2014;814
204;2015;776
205;2000;1778
205;2001;1767
205;2002;1764
205;2003;1743
205;2004;1707
205;2005;1728
205;2006;1719
205;2007;1690
205;2008;1676
205;2009;1676
205;2010;1667
205;2011;1653
205;2012;1648
205;2013;1668
205;2014;1633
205;2015;1580
206;2000;2165
206;2001;2122
206;2002;2142
206;2003;2088
206;2004;2102
206;2005;2041
206;2006;2018
206;2007;2000
206;2008;2001
206;2009;1997
206;2010;1986
206;2011;1978
206;2012;1946
206;2013;1929
206;2014;1943
206;2015;1886
207;2000;5535
207;2001;5513
207;2002;5460
207;2003;5423
207;2004;5375
207;2005;5359
207;2006;5319
207;2007;5325
207;2008;5272
207;2009;5134
207;2010;5124
207;2011;5004
207;2012;5025
207;2013;5015
207;2014;4925
207;2015;4929
208;2000;1756
208;2001;1775
208;2002;1776
208;2003;1752
208;2004;1750
208;2005;1748
208;2006;1730
208;2007;1697
208;2008;1695
208;2009;1651
208;2010;1622
208;2011;1594
208;2012;1598
208;2013;1567
208;2014;1524
208;2015;1550
301;2000;813
301;2001;783
301;2002;787
301;2003;787
301;2004;789
301;2005;771
301;2006;770
301;2007;751
301;2008;745
301;2009;748
301;2010;741
301;2011;747
301;2012;761
301;2013;758
301;2014;759
301;2015;752
302;2000;178
302;2001;168
302;2002;166
302;2003;187
302;2004;177
302;2005;175
302;2006;166
302;2007;161
302;2008;145
302;2009;131
302;2010;114
302;2011;132
302;2012;138
302;2013;136
302;2014;136
302;2015;149
